Time;Number of packets received on interface Network adapter 1
2019-03-09T06:00:00+01:00;73
2019-03-09T07:00:00+01:00;73
2019-03-09T08:00:00+01:00;89
2019-03-09T09:00:00+01:00;80
2019-03-09T10:00:00+01:00;89
2019-03-09T11:00:00+01:00;82
2019-03-09T12:00:00+01:00;74
2019-03-09T13:00:00+01:00;82
2019-03-09T14:00:00+01:00;84
2019-03-09T15:00:00+01:00;84
2019-03-09T16:00:00+01:00;87
2019-03-09T17:00:00+01:00;80
2019-03-09T18:00:00+01:00;80
2019-03-09T19:00:00+01:00;78
2019-03-09T20:00:00+01:00;82
2019-03-09T21:00:00+01:00;82
2019-03-09T22:00:00+01:00;78
2019-03-09T23:00:00+01:00;81
2019-03-10T00:00:00+01:00;80
2019-03-10T01:00:00+01:00;104
2019-03-10T02:00:00+01:00;82
2019-03-10T03:00:00+01:00;75
2019-03-10T04:00:00+01:00;77
2019-03-10T05:00:00+01:00;76
2019-03-10T06:00:00+01:00;70
2019-03-10T07:00:00+01:00;76
2019-03-10T08:00:00+01:00;82
2019-03-10T09:00:00+01:00;76
2019-03-10T10:00:00+01:00;86
2019-03-10T11:00:00+01:00;86
2019-03-10T12:00:00+01:00;79
2019-03-10T13:00:00+01:00;80
2019-03-10T14:00:00+01:00;85
2019-03-10T15:00:00+01:00;96
2019-03-10T16:00:00+01:00;92
2019-03-10T17:00:00+01:00;85
2019-03-10T18:00:00+01:00;81
2019-03-10T19:00:00+01:00;83
2019-03-10T20:00:00+01:00;94
2019-03-10T21:00:00+01:00;88
2019-03-10T22:00:00+01:00;91
2019-03-10T23:00:00+01:00;84
2019-03-11T00:00:00+01:00;87
2019-03-11T01:00:00+01:00;80
2019-03-11T02:00:00+01:00;83
2019-03-11T03:00:00+01:00;79
2019-03-11T04:00:00+01:00;80
2019-03-11T05:00:00+01:00;81
2019-03-11T06:00:00+01:00;66
2019-03-11T07:00:00+01:00;378
2019-03-11T08:00:00+01:00;620
2019-03-11T09:00:00+01:00;917
2019-03-11T10:00:00+01:00;1045
2019-03-11T11:00:00+01:00;916
2019-03-11T12:00:00+01:00;805
2019-03-11T13:00:00+01:00;804
2019-03-11T14:00:00+01:00;758
2019-03-11T15:00:00+01:00;2185
2019-03-11T16:00:00+01:00;1023
2019-03-11T17:00:00+01:00;680
2019-03-11T18:00:00+01:00;85
2019-03-11T19:00:00+01:00;94
2019-03-11T20:00:00+01:00;105
2019-03-11T21:00:00+01:00;94
2019-03-11T22:00:00+01:00;94
2019-03-11T23:00:00+01:00;88
2019-03-12T00:00:00+01:00;88
2019-03-12T01:00:00+01:00;105
2019-03-12T02:00:00+01:00;86
2019-03-12T03:00:00+01:00;81
2019-03-12T04:00:00+01:00;77
2019-03-12T05:00:00+01:00;90
2019-03-12T06:00:00+01:00;88
2019-03-12T07:00:00+01:00;274
2019-03-12T08:00:00+01:00;647
2019-03-12T09:00:00+01:00;1957
2019-03-12T10:00:00+01:00;2109
2019-03-12T11:00:00+01:00;1106
2019-03-12T12:00:00+01:00;1244
2019-03-12T13:00:00+01:00;962
2019-03-12T14:00:00+01:00;1068
2019-03-12T15:00:00+01:00;1251
2019-03-12T16:00:00+01:00;1055
2019-03-12T17:00:00+01:00;272
2019-03-12T18:00:00+01:00;115
2019-03-12T19:00:00+01:00;120
2019-03-12T20:00:00+01:00;115
2019-03-12T21:00:00+01:00;106
2019-03-12T22:00:00+01:00;101
2019-03-12T23:00:00+01:00;85
2019-03-13T00:00:00+01:00;91
2019-03-13T01:00:00+01:00;76
2019-03-13T02:00:00+01:00;81
2019-03-13T03:00:00+01:00;83
2019-03-13T04:00:00+01:00;76
2019-03-13T05:00:00+01:00;89
2019-03-13T06:00:00+01:00;82
2019-03-13T07:00:00+01:00;244
2019-03-13T08:00:00+01:00;939
2019-03-13T09:00:00+01:00;1044
2019-03-13T10:00:00+01:00;1253
2019-03-13T11:00:00+01:00;1036
2019-03-13T12:00:00+01:00;438
2019-03-13T13:00:00+01:00;768
2019-03-13T14:00:00+01:00;968
2019-03-13T15:00:00+01:00;939
2019-03-13T16:00:00+01:00;824
2019-03-13T17:00:00+01:00;334
2019-03-13T18:00:00+01:00;107
2019-03-13T19:00:00+01:00;99
2019-03-13T20:00:00+01:00;105
2019-03-13T21:00:00+01:00;91
2019-03-13T22:00:00+01:00;94
2019-03-13T23:00:00+01:00;88
2019-03-14T00:00:00+01:00;78
2019-03-14T01:00:00+01:00;92
2019-03-14T02:00:00+01:00;83
2019-03-14T03:00:00+01:00;72
2019-03-14T04:00:00+01:00;68
2019-03-14T05:00:00+01:00;80
2019-03-14T06:00:00+01:00;90
2019-03-14T07:00:00+01:00;229
2019-03-14T08:00:00+01:00;876
2019-03-14T09:00:00+01:00;1235
2019-03-14T10:00:00+01:00;1296
2019-03-14T11:00:00+01:00;745
2019-03-14T12:00:00+01:00;572
2019-03-14T13:00:00+01:00;973
2019-03-14T14:00:00+01:00;1264
2019-03-14T15:00:00+01:00;1106
2019-03-14T16:00:00+01:00;1234
2019-03-14T17:00:00+01:00;305
2019-03-14T18:00:00+01:00;137
2019-03-14T19:00:00+01:00;130
2019-03-14T20:00:00+01:00;115
2019-03-14T21:00:00+01:00;101
2019-03-14T22:00:00+01:00;98
2019-03-14T23:00:00+01:00;95
2019-03-15T00:00:00+01:00;80
2019-03-15T01:00:00+01:00;94
2019-03-15T02:00:00+01:00;92
2019-03-15T03:00:00+01:00;80
2019-03-15T04:00:00+01:00;89
2019-03-15T05:00:00+01:00;85
2019-03-15T06:00:00+01:00;93
2019-03-15T07:00:00+01:00;283
2019-03-15T08:00:00+01:00;650
2019-03-15T09:00:00+01:00;1152
2019-03-15T10:00:00+01:00;882
2019-03-15T11:00:00+01:00;886
2019-03-15T12:00:00+01:00;500
2019-03-15T13:00:00+01:00;539
2019-03-15T14:00:00+01:00;624
2019-03-15T15:00:00+01:00;709
2019-03-15T16:00:00+01:00;197
2019-03-15T17:00:00+01:00;132
2019-03-15T18:00:00+01:00;266
2019-03-15T19:00:00+01:00;96
2019-03-15T20:00:00+01:00;105
2019-03-15T21:00:00+01:00;96
2019-03-15T22:00:00+01:00;101
2019-03-15T23:00:00+01:00;93
2019-03-16T00:00:00+01:00;91
2019-03-16T01:00:00+01:00;86
2019-03-16T02:00:00+01:00;92
2019-03-16T03:00:00+01:00;82
2019-03-16T04:00:00+01:00;93
2019-03-16T05:00:00+01:00;87
2019-03-16T06:00:00+01:00;89
2019-03-16T07:00:00+01:00;89
2019-03-16T08:00:00+01:00;96
2019-03-16T09:00:00+01:00;93
2019-03-16T10:00:00+01:00;94
2019-03-16T11:00:00+01:00;98
2019-03-16T12:00:00+01:00;96
2019-03-16T13:00:00+01:00;84
2019-03-16T14:00:00+01:00;97
2019-03-16T15:00:00+01:00;90
2019-03-16T16:00:00+01:00;103
2019-03-16T17:00:00+01:00;98
2019-03-16T18:00:00+01:00;277
2019-03-16T19:00:00+01:00;97
2019-03-16T20:00:00+01:00;97
2019-03-16T21:00:00+01:00;94
2019-03-16T22:00:00+01:00;101
2019-03-16T23:00:00+01:00;98
2019-03-17T00:00:00+01:00;95
2019-03-17T01:00:00+01:00;173
2019-03-17T02:00:00+01:00;115
2019-03-17T03:00:00+01:00;91
2019-03-17T04:00:00+01:00;91
2019-03-17T05:00:00+01:00;90
2019-03-17T06:00:00+01:00;81
2019-03-17T07:00:00+01:00;91
2019-03-17T08:00:00+01:00;100
2019-03-17T09:00:00+01:00;97
2019-03-17T10:00:00+01:00;97
2019-03-17T11:00:00+01:00;95
2019-03-17T12:00:00+01:00;92
2019-03-17T13:00:00+01:00;90
2019-03-17T14:00:00+01:00;93
2019-03-17T15:00:00+01:00;100
2019-03-17T16:00:00+01:00;97
2019-03-17T17:00:00+01:00;95
2019-03-17T18:00:00+01:00;94
2019-03-17T19:00:00+01:00;106
2019-03-17T20:00:00+01:00;106
2019-03-17T21:00:00+01:00;95
2019-03-17T22:00:00+01:00;98
2019-03-17T23:00:00+01:00;105
2019-03-18T00:00:00+01:00;103
2019-03-18T01:00:00+01:00;87
2019-03-18T02:00:00+01:00;89
2019-03-18T03:00:00+01:00;82
2019-03-18T04:00:00+01:00;89
2019-03-18T05:00:00+01:00;81
2019-03-18T06:00:00+01:00;80
2019-03-18T07:00:00+01:00;345
2019-03-18T08:00:00+01:00;617
2019-03-18T09:00:00+01:00;1376
2019-03-18T10:00:00+01:00;1533
2019-03-18T11:00:00+01:00;970
2019-03-18T12:00:00+01:00;618
2019-03-18T13:00:00+01:00;1092
2019-03-18T14:00:00+01:00;1893
2019-03-18T15:00:00+01:00;1490
2019-03-18T16:00:00+01:00;1918
2019-03-18T17:00:00+01:00;426
2019-03-18T18:00:00+01:00;117
2019-03-18T19:00:00+01:00;117
2019-03-18T20:00:00+01:00;116
2019-03-18T21:00:00+01:00;109
2019-03-18T22:00:00+01:00;118
2019-03-18T23:00:00+01:00;110
2019-03-19T00:00:00+01:00;93
2019-03-19T01:00:00+01:00;123
2019-03-19T02:00:00+01:00;98
2019-03-19T03:00:00+01:00;90
2019-03-19T04:00:00+01:00;97
2019-03-19T05:00:00+01:00;104
2019-03-19T06:00:00+01:00;98
2019-03-19T07:00:00+01:00;444
2019-03-19T08:00:00+01:00;1504
2019-03-19T09:00:00+01:00;964
2019-03-19T10:00:00+01:00;1262
2019-03-19T11:00:00+01:00;1247
2019-03-19T12:00:00+01:00;940
2019-03-19T13:00:00+01:00;756
2019-03-19T14:00:00+01:00;1311
2019-03-19T15:00:00+01:00;1458
2019-03-19T16:00:00+01:00;1092
2019-03-19T17:00:00+01:00;545
2019-03-19T18:00:00+01:00;116
2019-03-19T19:00:00+01:00;125
2019-03-19T20:00:00+01:00;113
2019-03-19T21:00:00+01:00;107
2019-03-19T22:00:00+01:00;101
2019-03-19T23:00:00+01:00;101
2019-03-20T00:00:00+01:00;95
2019-03-20T01:00:00+01:00;95
2019-03-20T02:00:00+01:00;94
2019-03-20T03:00:00+01:00;92
2019-03-20T04:00:00+01:00;96
2019-03-20T05:00:00+01:00;105
2019-03-20T06:00:00+01:00;112
2019-03-20T07:00:00+01:00;316
2019-03-20T08:00:00+01:00;791
2019-03-20T09:00:00+01:00;973
2019-03-20T10:00:00+01:00;1316
2019-03-20T11:00:00+01:00;795
2019-03-20T12:00:00+01:00;538
2019-03-20T13:00:00+01:00;661
2019-03-20T14:00:00+01:00;1061
2019-03-20T15:00:00+01:00;652
2019-03-20T16:00:00+01:00;810
2019-03-20T17:00:00+01:00;300
2019-03-20T18:00:00+01:00;134
2019-03-20T19:00:00+01:00;101
2019-03-20T20:00:00+01:00;101
2019-03-20T21:00:00+01:00;99
2019-03-20T22:00:00+01:00;100
2019-03-20T23:00:00+01:00;81
2019-03-21T00:00:00+01:00;82
2019-03-21T01:00:00+01:00;81
2019-03-21T02:00:00+01:00;80
2019-03-21T03:00:00+01:00;90
2019-03-21T04:00:00+01:00;81
2019-03-21T05:00:00+01:00;80
2019-03-21T06:00:00+01:00;85
2019-03-21T07:00:00+01:00;354
2019-03-21T08:00:00+01:00;581
2019-03-21T09:00:00+01:00;1098
2019-03-21T10:00:00+01:00;1932
2019-03-21T11:00:00+01:00;1355
2019-03-21T12:00:00+01:00;961
2019-03-21T13:00:00+01:00;1924
2019-03-21T14:00:00+01:00;1500
2019-03-21T15:00:00+01:00;1190
2019-03-21T16:00:00+01:00;1015
2019-03-21T17:00:00+01:00;270
2019-03-21T18:00:00+01:00;101
2019-03-21T19:00:00+01:00;91
2019-03-21T20:00:00+01:00;106
2019-03-21T21:00:00+01:00;93
2019-03-21T22:00:00+01:00;105
2019-03-21T23:00:00+01:00;91
2019-03-22T00:00:00+01:00;83
2019-03-22T01:00:00+01:00;95
2019-03-22T02:00:00+01:00;89
2019-03-22T03:00:00+01:00;72
2019-03-22T04:00:00+01:00;83
2019-03-22T05:00:00+01:00;94
2019-03-22T06:00:00+01:00;94
2019-03-22T07:00:00+01:00;410
2019-03-22T08:00:00+01:00;786
2019-03-22T09:00:00+01:00;1269
2019-03-22T10:00:00+01:00;885
2019-03-22T11:00:00+01:00;1402
2019-03-22T12:00:00+01:00;1008
2019-03-22T13:00:00+01:00;535
2019-03-22T14:00:00+01:00;911
2019-03-22T15:00:00+01:00;467
2019-03-22T16:00:00+01:00;264
2019-03-22T17:00:00+01:00;135
2019-03-22T18:00:00+01:00;96
2019-03-22T19:00:00+01:00;90
2019-03-22T20:00:00+01:00;122
2019-03-22T21:00:00+01:00;80
2019-03-22T22:00:00+01:00;92
2019-03-22T23:00:00+01:00;87
2019-03-23T00:00:00+01:00;81
2019-03-23T01:00:00+01:00;106
2019-03-23T02:00:00+01:00;81
2019-03-23T03:00:00+01:00;76
2019-03-23T04:00:00+01:00;76
2019-03-23T05:00:00+01:00;81
2019-03-23T06:00:00+01:00;74
2019-03-23T07:00:00+01:00;79
2019-03-23T08:00:00+01:00;94
2019-03-23T09:00:00+01:00;83
2019-03-23T10:00:00+01:00;96
2019-03-23T11:00:00+01:00;80
2019-03-23T12:00:00+01:00;85
2019-03-23T13:00:00+01:00;87
2019-03-23T14:00:00+01:00;83
2019-03-23T15:00:00+01:00;78
2019-03-23T16:00:00+01:00;86
2019-03-23T17:00:00+01:00;85
2019-03-23T18:00:00+01:00;77
2019-03-23T19:00:00+01:00;88
2019-03-23T20:00:00+01:00;88
2019-03-23T21:00:00+01:00;83
2019-03-23T22:00:00+01:00;83
2019-03-23T23:00:00+01:00;81
2019-03-24T00:00:00+01:00;91
2019-03-24T01:00:00+01:00;86
2019-03-24T02:00:00+01:00;81
2019-03-24T03:00:00+01:00;74
2019-03-24T04:00:00+01:00;81
2019-03-24T05:00:00+01:00;78
2019-03-24T06:00:00+01:00;79
2019-03-24T07:00:00+01:00;80
2019-03-24T08:00:00+01:00;79
2019-03-24T09:00:00+01:00;73
2019-03-24T10:00:00+01:00;84
2019-03-24T11:00:00+01:00;85
2019-03-24T12:00:00+01:00;86
2019-03-24T13:00:00+01:00;92
2019-03-24T14:00:00+01:00;81
2019-03-24T15:00:00+01:00;84
2019-03-24T16:00:00+01:00;82
2019-03-24T17:00:00+01:00;93
2019-03-24T18:00:00+01:00;81
2019-03-24T19:00:00+01:00;86
2019-03-24T20:00:00+01:00;100
2019-03-24T21:00:00+01:00;106
2019-03-24T22:00:00+01:00;89
2019-03-24T23:00:00+01:00;83
2019-03-25T00:00:00+01:00;82
2019-03-25T01:00:00+01:00;89
2019-03-25T02:00:00+01:00;78
2019-03-25T03:00:00+01:00;74
2019-03-25T04:00:00+01:00;72
2019-03-25T05:00:00+01:00;79
2019-03-25T06:00:00+01:00;90
2019-03-25T07:00:00+01:00;467
2019-03-25T08:00:00+01:00;847
2019-03-25T09:00:00+01:00;1436
2019-03-25T10:00:00+01:00;1770
2019-03-25T11:00:00+01:00;1309
2019-03-25T12:00:00+01:00;608
2019-03-25T13:00:00+01:00;818
2019-03-25T14:00:00+01:00;1219
2019-03-25T15:00:00+01:00;1186
2019-03-25T16:00:00+01:00;1134
2019-03-25T17:00:00+01:00;487
2019-03-25T18:00:00+01:00;118
