Time;Free disk space on /
2019-03-15T04:00:00+01:00;230217379840
2019-03-15T05:00:00+01:00;230224903680
2019-03-15T06:00:00+01:00;230360651776
2019-03-15T07:00:00+01:00;230360651776
2019-03-15T08:00:00+01:00;230313430835
2019-03-15T09:00:00+01:00;230255716352
2019-03-15T10:00:00+01:00;230217017002
2019-03-15T11:00:00+01:00;230150172672
2019-03-15T12:00:00+01:00;230150172672
2019-03-15T13:00:00+01:00;230150172672
2019-03-15T14:00:00+01:00;230085394295
2019-03-15T15:00:00+01:00;230045126656
2019-03-15T16:00:00+01:00;230045126656
2019-03-15T17:00:00+01:00;230045126656
2019-03-15T18:00:00+01:00;229957700949
2019-03-15T19:00:00+01:00;229940215808
2019-03-15T20:00:00+01:00;229940215808
2019-03-15T21:00:00+01:00;229940215808
2019-03-15T22:00:00+01:00;229940215808
2019-03-15T23:00:00+01:00;229940215808
2019-03-16T00:00:00+01:00;198672933614
2019-03-16T01:00:00+01:00;220691490816
2019-03-16T02:00:00+01:00;220691490816
2019-03-16T03:00:00+01:00;220678938624
2019-03-16T04:00:00+01:00;220509185058
2019-03-16T05:00:00+01:00;218527031364
2019-03-16T06:00:00+01:00;218442823680
2019-03-16T07:00:00+01:00;218442823680
2019-03-16T08:00:00+01:00;218442823680
2019-03-16T09:00:00+01:00;218442823680
2019-03-16T10:00:00+01:00;218442823680
2019-03-16T11:00:00+01:00;218442823680
2019-03-16T12:00:00+01:00;218442823680
2019-03-16T13:00:00+01:00;218442823680
2019-03-16T14:00:00+01:00;218442823680
2019-03-16T15:00:00+01:00;218442823680
2019-03-16T16:00:00+01:00;218442823680
2019-03-16T17:00:00+01:00;218442823680
2019-03-16T18:00:00+01:00;218442823680
2019-03-16T19:00:00+01:00;218442823680
2019-03-16T20:00:00+01:00;218442823680
2019-03-16T21:00:00+01:00;218442823680
2019-03-16T22:00:00+01:00;218339659332
2019-03-16T23:00:00+01:00;218337910784
2019-03-17T00:00:00+01:00;196008339285
2019-03-17T01:00:00+01:00;218443040768
2019-03-17T02:00:00+01:00;218443040768
2019-03-17T03:00:00+01:00;218426160366
2019-03-17T04:00:00+01:00;218461136145
