Time;Average number of bytes written to the disk Hard disk 1
2019-03-21T14:00:00+01:00;970478
2019-03-21T15:00:00+01:00;990327
2019-03-21T16:00:00+01:00;1291127
2019-03-21T17:00:00+01:00;1128789
2019-03-21T18:00:00+01:00;1065079
2019-03-21T19:00:00+01:00;762248
2019-03-21T20:00:00+01:00;826999
2019-03-21T21:00:00+01:00;764979
2019-03-21T22:00:00+01:00;1129028
2019-03-21T23:00:00+01:00;1094468
2019-03-22T00:00:00+01:00;17914624
2019-03-22T01:00:00+01:00;1234858
2019-03-22T02:00:00+01:00;1069021
2019-03-22T03:00:00+01:00;3235549
2019-03-22T04:00:00+01:00;678604
2019-03-22T05:00:00+01:00;1227707
2019-03-22T06:00:00+01:00;1160772
2019-03-22T07:00:00+01:00;900778
2019-03-22T08:00:00+01:00;757794
2019-03-22T09:00:00+01:00;928836
2019-03-22T10:00:00+01:00;1284556
2019-03-22T11:00:00+01:00;1056256
2019-03-22T12:00:00+01:00;1006438
2019-03-22T13:00:00+01:00;906410
2019-03-22T14:00:00+01:00;939844
2019-03-22T15:00:00+01:00;928324
2019-03-22T16:00:00+01:00;1027157
2019-03-22T17:00:00+01:00;1055624
2019-03-22T18:00:00+01:00;1090372
2019-03-22T19:00:00+01:00;1064601
2019-03-22T20:00:00+01:00;775253
2019-03-22T21:00:00+01:00;934758
2019-03-22T22:00:00+01:00;929058
2019-03-22T23:00:00+01:00;924364
2019-03-23T00:00:00+01:00;19165320
2019-03-23T01:00:00+01:00;1123618
2019-03-23T02:00:00+01:00;960187
2019-03-23T03:00:00+01:00;2437137
2019-03-23T04:00:00+01:00;1400183
2019-03-23T05:00:00+01:00;808601
2019-03-23T06:00:00+01:00;1068782
2019-03-23T07:00:00+01:00;1153126
2019-03-23T08:00:00+01:00;1197926
2019-03-23T09:00:00+01:00;1086105
2019-03-23T10:00:00+01:00;1062894
2019-03-23T11:00:00+01:00;871475
2019-03-23T12:00:00+01:00;813704
2019-03-23T13:00:00+01:00;981794
2019-03-23T14:00:00+01:00;1107609
2019-03-23T15:00:00+01:00;1039104
2019-03-23T16:00:00+01:00;860928
2019-03-23T17:00:00+01:00;980565
2019-03-23T18:00:00+01:00;1243084
2019-03-23T19:00:00+01:00;982289
2019-03-23T20:00:00+01:00;723063
2019-03-23T21:00:00+01:00;875690
2019-03-23T22:00:00+01:00;1008878
2019-03-23T23:00:00+01:00;1029358
2019-03-24T00:00:00+01:00;18126028
2019-03-24T01:00:00+01:00;1205009
2019-03-24T02:00:00+01:00;1123549
2019-03-24T03:00:00+01:00;1961420
2019-03-24T04:00:00+01:00;541474
2019-03-24T05:00:00+01:00;873233
2019-03-24T06:00:00+01:00;1100253
2019-03-24T07:00:00+01:00;1735867
2019-03-24T08:00:00+01:00;695210
2019-03-24T09:00:00+01:00;769996
2019-03-24T10:00:00+01:00;1058884
2019-03-24T11:00:00+01:00;937881
2019-03-24T12:00:00+01:00;686609
2019-03-24T13:00:00+01:00;838297
2019-03-24T14:00:00+01:00;983176
2019-03-24T15:00:00+01:00;1481096
2019-03-24T16:00:00+01:00;633907
2019-03-24T17:00:00+01:00;797457
2019-03-24T18:00:00+01:00;1196236
2019-03-24T19:00:00+01:00;1003639
2019-03-24T20:00:00+01:00;634624
2019-03-24T21:00:00+01:00;869068
2019-03-24T22:00:00+01:00;1359257
2019-03-24T23:00:00+01:00;1163127
2019-03-25T00:00:00+01:00;14517947
2019-03-25T01:00:00+01:00;1049753
2019-03-25T02:00:00+01:00;1013930
2019-03-25T03:00:00+01:00;2351001
2019-03-25T04:00:00+01:00;1516202
2019-03-25T05:00:00+01:00;3548142
2019-03-25T06:00:00+01:00;1011575
2019-03-25T07:00:00+01:00;762402
2019-03-25T08:00:00+01:00;922470
2019-03-25T09:00:00+01:00;846267
2019-03-25T10:00:00+01:00;883575
2019-03-25T11:00:00+01:00;723592
2019-03-25T12:00:00+01:00;1031901
2019-03-25T13:00:00+01:00;1047995
2019-03-25T14:00:00+01:00;930457
2019-03-25T15:00:00+01:00;853811
2019-03-25T16:00:00+01:00;969540
2019-03-25T17:00:00+01:00;1098820
2019-03-25T18:00:00+01:00;994304
2019-03-25T19:00:00+01:00;1047415
2019-03-25T20:00:00+01:00;963549
2019-03-25T21:00:00+01:00;1056733
2019-03-25T22:00:00+01:00;1075882
2019-03-25T23:00:00+01:00;1171865
2019-03-26T00:00:00+01:00;16510464
2019-03-26T01:00:00+01:00;1030075
2019-03-26T02:00:00+01:00;981794
2019-03-26T03:00:00+01:00;3108369
2019-03-26T04:00:00+01:00;774707
2019-03-26T05:00:00+01:00;910472
2019-03-26T06:00:00+01:00;2755106
2019-03-26T07:00:00+01:00;1471402
2019-03-26T08:00:00+01:00;943377
2019-03-26T09:00:00+01:00;1050743
2019-03-26T10:00:00+01:00;1340091
2019-03-26T11:00:00+01:00;1106483
2019-03-26T12:00:00+01:00;1222826
2019-03-26T13:00:00+01:00;1138261
2019-03-26T14:00:00+01:00;1519104
2019-03-26T15:00:00+01:00;1114197
2019-03-26T16:00:00+01:00;858777
2019-03-26T17:00:00+01:00;914705
2019-03-26T18:00:00+01:00;919773
2019-03-26T19:00:00+01:00;1149986
2019-03-26T20:00:00+01:00;1138056
2019-03-26T21:00:00+01:00;1042756
2019-03-26T22:00:00+01:00;1002905
2019-03-26T23:00:00+01:00;1078357
2019-03-27T00:00:00+01:00;18059059
2019-03-27T01:00:00+01:00;1016780
2019-03-27T02:00:00+01:00;842137
2019-03-27T03:00:00+01:00;3937075
2019-03-27T04:00:00+01:00;2230169
2019-03-27T05:00:00+01:00;14761130
2019-03-27T06:00:00+01:00;878899
2019-03-27T07:00:00+01:00;818397
2019-03-27T08:00:00+01:00;807355
2019-03-27T09:00:00+01:00;970973
2019-03-27T10:00:00+01:00;1194478
2019-03-27T11:00:00+01:00;901529
2019-03-27T12:00:00+01:00;908526
2019-03-27T13:00:00+01:00;1093546
2019-03-27T14:00:00+01:00;1076531
2019-03-27T15:00:00+01:00;836078
2019-03-27T16:00:00+01:00;804044
2019-03-27T17:00:00+01:00;1027874
2019-03-27T18:00:00+01:00;976759
2019-03-27T19:00:00+01:00;965137
2019-03-27T20:00:00+01:00;1351372
2019-03-27T21:00:00+01:00;883507
2019-03-27T22:00:00+01:00;983466
2019-03-27T23:00:00+01:00;1090201
2019-03-28T00:00:00+01:00;17822907
2019-03-28T01:00:00+01:00;1940411
