Time;Average number of bytes read from the disk Hard disk 1
2019-03-30T00:00:00+01:00;34485691
2019-03-30T01:00:00+01:00;1240780
2019-03-30T02:00:00+01:00;384921
2019-03-30T03:00:00+01:00;434739
2019-03-30T04:00:00+01:00;181367
2019-03-30T05:00:00+01:00;11639
2019-03-30T06:00:00+01:00;33706
2019-03-30T07:00:00+01:00;16452
2019-03-30T08:00:00+01:00;18909
2019-03-30T09:00:00+01:00;11315
2019-03-30T10:00:00+01:00;9301
2019-03-30T11:00:00+01:00;8942
2019-03-30T12:00:00+01:00;108851
2019-03-30T13:00:00+01:00;21657
2019-03-30T14:00:00+01:00;25548
2019-03-30T15:00:00+01:00;6434
2019-03-30T16:00:00+01:00;7458
2019-03-30T17:00:00+01:00;7543
2019-03-30T18:00:00+01:00;30941
2019-03-30T19:00:00+01:00;7441
2019-03-30T20:00:00+01:00;7970
2019-03-30T21:00:00+01:00;14865
2019-03-30T22:00:00+01:00;18500
2019-03-30T23:00:00+01:00;12731
2019-03-31T00:00:00+01:00;23096149
2019-03-31T01:00:00+01:00;575488
2019-03-31T03:00:00+02:00;926020
2019-03-31T04:00:00+02:00;77380
2019-03-31T05:00:00+02:00;9710
2019-03-31T06:00:00+02:00;648
2019-03-31T07:00:00+02:00;81117
2019-03-31T08:00:00+02:00;39338
2019-03-31T09:00:00+02:00;7492
2019-03-31T10:00:00+02:00;211626
2019-03-31T11:00:00+02:00;27306
2019-03-31T12:00:00+02:00;22579
2019-03-31T13:00:00+02:00;5802
2019-03-31T14:00:00+02:00;3157
2019-03-31T15:00:00+02:00;18432
2019-03-31T16:00:00+02:00;9386
2019-03-31T17:00:00+02:00;4573
2019-03-31T18:00:00+02:00;580
2019-03-31T19:00:00+02:00;26214
2019-03-31T20:00:00+02:00;35191
2019-03-31T21:00:00+02:00;12356
2019-03-31T22:00:00+02:00;4573
2019-03-31T23:00:00+02:00;40704
2019-04-01T00:00:00+02:00;21881412
