Time;Number of packets transmitted on interface Network adapter 1
2019-03-14T04:00:00+01:00;11828
2019-03-14T05:00:00+01:00;8290
2019-03-14T06:00:00+01:00;38546
2019-03-14T07:00:00+01:00;16960
2019-03-14T08:00:00+01:00;21248
2019-03-14T09:00:00+01:00;17135
2019-03-14T10:00:00+01:00;44410
2019-03-14T11:00:00+01:00;22692
2019-03-14T12:00:00+01:00;24751
2019-03-14T13:00:00+01:00;18891
2019-03-14T14:00:00+01:00;46354
2019-03-14T15:00:00+01:00;20020
2019-03-14T16:00:00+01:00;20144
2019-03-14T17:00:00+01:00;14545
2019-03-14T18:00:00+01:00;32863
2019-03-14T19:00:00+01:00;21142
2019-03-14T20:00:00+01:00;9923
2019-03-14T21:00:00+01:00;9697
2019-03-14T22:00:00+01:00;7417
2019-03-14T23:00:00+01:00;10225
2019-03-15T00:00:00+01:00;8119
2019-03-15T01:00:00+01:00;6048
2019-03-15T02:00:00+01:00;5403
2019-03-15T03:00:00+01:00;9571
2019-03-15T04:00:00+01:00;5049
2019-03-15T05:00:00+01:00;8320
2019-03-15T06:00:00+01:00;47659
2019-03-15T07:00:00+01:00;19513
2019-03-15T08:00:00+01:00;16876
2019-03-15T09:00:00+01:00;13678
2019-03-15T10:00:00+01:00;50541
2019-03-15T11:00:00+01:00;19978
2019-03-15T12:00:00+01:00;15882
2019-03-15T13:00:00+01:00;15962
2019-03-15T14:00:00+01:00;49038
2019-03-15T15:00:00+01:00;20595
2019-03-15T16:00:00+01:00;15706
2019-03-15T17:00:00+01:00;11243
2019-03-15T18:00:00+01:00;30266
2019-03-15T19:00:00+01:00;24124
2019-03-15T20:00:00+01:00;6841
2019-03-15T21:00:00+01:00;5362
2019-03-15T22:00:00+01:00;4204
2019-03-15T23:00:00+01:00;9166
2019-03-16T00:00:00+01:00;5142
2019-03-16T01:00:00+01:00;4297
2019-03-16T02:00:00+01:00;3286
2019-03-16T03:00:00+01:00;9131
2019-03-16T04:00:00+01:00;10885
2019-03-16T05:00:00+01:00;4468
2019-03-16T06:00:00+01:00;3094
2019-03-16T07:00:00+01:00;9122
2019-03-16T08:00:00+01:00;6194
2019-03-16T09:00:00+01:00;6831
2019-03-16T10:00:00+01:00;5186
2019-03-16T11:00:00+01:00;10017
2019-03-16T12:00:00+01:00;4697
2019-03-16T13:00:00+01:00;5868
2019-03-16T14:00:00+01:00;4664
2019-03-16T15:00:00+01:00;10197
2019-03-16T16:00:00+01:00;7001
2019-03-16T17:00:00+01:00;6302
2019-03-16T18:00:00+01:00;6920
2019-03-16T19:00:00+01:00;10117
2019-03-16T20:00:00+01:00;7792
2019-03-16T21:00:00+01:00;6526
2019-03-16T22:00:00+01:00;5277
2019-03-16T23:00:00+01:00;9562
2019-03-17T00:00:00+01:00;6379
2019-03-17T01:00:00+01:00;6722
2019-03-17T02:00:00+01:00;3741
2019-03-17T03:00:00+01:00;9121
2019-03-17T04:00:00+01:00;10804
2019-03-17T05:00:00+01:00;5164
2019-03-17T06:00:00+01:00;10683
2019-03-17T07:00:00+01:00;6181
2019-03-17T08:00:00+01:00;8251
2019-03-17T09:00:00+01:00;4790
2019-03-17T10:00:00+01:00;5516
2019-03-17T11:00:00+01:00;8405
2019-03-17T12:00:00+01:00;6971
2019-03-17T13:00:00+01:00;4977
2019-03-17T14:00:00+01:00;11076
2019-03-17T15:00:00+01:00;15966
2019-03-17T16:00:00+01:00;32395
2019-03-17T17:00:00+01:00;5309
2019-03-17T18:00:00+01:00;11632
2019-03-17T19:00:00+01:00;15193
2019-03-17T20:00:00+01:00;29197
2019-03-17T21:00:00+01:00;5993
2019-03-17T22:00:00+01:00;4681
2019-03-17T23:00:00+01:00;8008
2019-03-18T00:00:00+01:00;28580
2019-03-18T01:00:00+01:00;11212
2019-03-18T02:00:00+01:00;6166
2019-03-18T03:00:00+01:00;6103
2019-03-18T04:00:00+01:00;35188
2019-03-18T05:00:00+01:00;45462
2019-03-18T06:00:00+01:00;23379
2019-03-18T07:00:00+01:00;13326
2019-03-18T08:00:00+01:00;18268
2019-03-18T09:00:00+01:00;50303
2019-03-18T10:00:00+01:00;31254
2019-03-18T11:00:00+01:00;15833
2019-03-18T12:00:00+01:00;18283
2019-03-18T13:00:00+01:00;41186
2019-03-18T14:00:00+01:00;34009
2019-03-18T15:00:00+01:00;15808
