Time;Number of bytes received on interface Network adapter 1
2019-03-25T03:00:00+01:00;64665
2019-03-25T04:00:00+01:00;573678
2019-03-25T05:00:00+01:00;272947
2019-03-25T06:00:00+01:00;130764
2019-03-25T07:00:00+01:00;130355
2019-03-25T08:00:00+01:00;117384
2019-03-25T09:00:00+01:00;102092
2019-03-25T10:00:00+01:00;198929
2019-03-25T11:00:00+01:00;152012
2019-03-25T12:00:00+01:00;147114
2019-03-25T13:00:00+01:00;119722
2019-03-25T14:00:00+01:00;173841
2019-03-25T15:00:00+01:00;132164
2019-03-25T16:00:00+01:00;116087
2019-03-25T17:00:00+01:00;95334
2019-03-25T18:00:00+01:00;160989
2019-03-25T19:00:00+01:00;95829
2019-03-25T20:00:00+01:00;62754
2019-03-25T21:00:00+01:00;43195
2019-03-25T22:00:00+01:00;37905
2019-03-25T23:00:00+01:00;40174
2019-03-26T00:00:00+01:00;43008
2019-03-26T01:00:00+01:00;42700
2019-03-26T02:00:00+01:00;43349
2019-03-26T03:00:00+01:00;61491
2019-03-26T04:00:00+01:00;43400
2019-03-26T05:00:00+01:00;41745
2019-03-26T06:00:00+01:00;930133
2019-03-26T07:00:00+01:00;89019
2019-03-26T08:00:00+01:00;96836
2019-03-26T09:00:00+01:00;105881
2019-03-26T10:00:00+01:00;203673
2019-03-26T11:00:00+01:00;99754
2019-03-26T12:00:00+01:00;100693
2019-03-26T13:00:00+01:00;100334
2019-03-26T14:00:00+01:00;255402
2019-03-26T15:00:00+01:00;132829
2019-03-26T16:00:00+01:00;103014
2019-03-26T17:00:00+01:00;86340
2019-03-26T18:00:00+01:00;208896
2019-03-26T19:00:00+01:00;83285
2019-03-26T20:00:00+01:00;55210
2019-03-26T21:00:00+01:00;37649
2019-03-26T22:00:00+01:00;41523
2019-03-26T23:00:00+01:00;58948
2019-03-27T00:00:00+01:00;50380
2019-03-27T01:00:00+01:00;34645
2019-03-27T02:00:00+01:00;44441
2019-03-27T03:00:00+01:00;753629
2019-03-27T04:00:00+01:00;41437
2019-03-27T05:00:00+01:00;1812258
2019-03-27T06:00:00+01:00;196164
2019-03-27T07:00:00+01:00;100147
2019-03-27T08:00:00+01:00;100266
2019-03-27T09:00:00+01:00;101120
2019-03-27T10:00:00+01:00;262946
2019-03-27T11:00:00+01:00;112725
