"Time	CPU usage	ANB_read	ANB_write	AN_read	AN_write	Free_disk	B_rec	B_trans	P_rec	P_trans	Host_memory	Guest_memory	Com_storage"
"2019-03-04T08:00:00+01:00	5017316666	694937	4115473	26	74	2,47011E+11	730009	231270	38622	41716	17197223116	5016020582	4,93185E+11"
"2019-03-04T09:00:00+01:00	3941266666	110387	904567	5	29	2,46659E+11	130781	150493	22331	24864	17199128029	3905106739	4,93185E+11"
"2019-03-04T10:00:00+01:00	3306700000	65962	833809	2	29	2,46555E+11	116428	137762	20865	23430	17199984366	3747488290	4,93185E+11"
"2019-03-04T11:00:00+01:00	4057766666	56883	1286843	1	43	2,46555E+11	150528	168755	24776	27718	17200176605	3750459255	4,93185E+11"
"2019-03-04T12:00:00+01:00	4103766666	35396	1135342	1	41	2,46482E+11	144930	174779	26438	30255	17199075601	3870695970	4,93185E+11"
"2019-03-04T13:00:00+01:00	4419100000	120456	904891	2	33	2,46451E+11	152934	361403	26497	32599	17199215411	3890653866	4,93185E+11"
"2019-03-04T14:00:00+01:00	3209250000	105830	952678	3	35	2,46451E+11	121856	216866	21983	25358	17199722222	3475575057	4,93185E+11"
"2019-03-04T15:00:00+01:00	4157433333	21299	679833	0	27	2,46354E+11	140561	199697	24847	28098	17200141653	3684643635	4,93185E+11"
"2019-03-04T16:00:00+01:00	3734283333	24780	956467	1	35	2,46345E+11	125952	145083	22764	25262	17199267840	3693189529	4,93185E+11"
"2019-03-04T17:00:00+01:00	3791450000	16435	917333	0	34	2,4634E+11	148462	275746	26756	30064	17198918314	3690218564	4,93185E+11"
"2019-03-04T18:00:00+01:00	2483433333	207240	1352857	2	41	2,4624E+11	97262	113117	17566	19586	17196174540	3615839573	4,93271E+11"
"2019-03-04T19:00:00+01:00	2595133333	6604	1405166	0	44	2,4624E+11	94395	109755	17462	19656	17198184311	3329508420	4,93325E+11"
"2019-03-04T20:00:00+01:00	2173466666	8243	834235	0	32	2,4624E+11	74939	84804	13523	15074	17193972531	3031730312	4,93185E+11"
"2019-03-04T21:00:00+01:00	2644450000	4983	1058747	0	37	2,4624E+11	116548	256819	21152	25101	17200456226	3257960584	4,93185E+11"
"2019-03-04T22:00:00+01:00	2249916666	2065	1263616	0	42	2,462E+11	78045	90077	14461	16186	17190389896	3051828019	4,93185E+11"
"2019-03-04T23:00:00+01:00	2463883333	6877	1095168	0	38	2,46135E+11	111086	116326	18213	20604	17200298939	3200568524	4,93185E+11"
"2019-03-05T00:00:00+01:00	3897116666	21420168	16436275	222	223	2,22337E+11	107707	115677	18072	19598	17198009548	7919405192	4,93185E+11"
"2019-03-05T01:00:00+01:00	3733016666	484027	1177514	26	38	2,39636E+11	102536	137062	18531	21608	17198201787	4454770278	4,93185E+11"
