Time;Number of bytes received
2019-03-16T06:00:00+01:00;2526139
2019-03-16T07:00:00+01:00;2848443
2019-03-16T08:00:00+01:00;6279867
2019-03-16T09:00:00+01:00;12986026
2019-03-16T10:00:00+01:00;18789956
2019-03-16T11:00:00+01:00;20204680
2019-03-16T12:00:00+01:00;20350498
2019-03-16T13:00:00+01:00;25564433
2019-03-16T14:00:00+01:00;27527203
2019-03-16T15:00:00+01:00;23259972
2019-03-16T16:00:00+01:00;21770928
2019-03-16T17:00:00+01:00;22245017
2019-03-16T18:00:00+01:00;20478907
2019-03-16T19:00:00+01:00;21966421
2019-03-16T20:00:00+01:00;21166131
2019-03-16T21:00:00+01:00;23354419
2019-03-16T22:00:00+01:00;25133465
2019-03-16T23:00:00+01:00;19611272
2019-03-17T00:00:00+01:00;15609070
2019-03-17T01:00:00+01:00;12507665
2019-03-17T02:00:00+01:00;9486040
2019-03-17T03:00:00+01:00;5068305
2019-03-17T04:00:00+01:00;3102395
2019-03-17T05:00:00+01:00;1953280
2019-03-17T06:00:00+01:00;2106214
2019-03-17T07:00:00+01:00;3424307
2019-03-17T08:00:00+01:00;7468834
2019-03-17T09:00:00+01:00;9472887
2019-03-17T10:00:00+01:00;15765111
2019-03-17T11:00:00+01:00;21090048
2019-03-17T12:00:00+01:00;21447662
2019-03-17T13:00:00+01:00;22767616
2019-03-17T14:00:00+01:00;24118254
2019-03-17T15:00:00+01:00;25331848
2019-03-17T16:00:00+01:00;26926267
2019-03-17T17:00:00+01:00;25936844
2019-03-17T18:00:00+01:00;27498308
2019-03-17T19:00:00+01:00;25128908
2019-03-17T20:00:00+01:00;31822882
2019-03-17T21:00:00+01:00;39597943
2019-03-17T22:00:00+01:00;38321390
2019-03-17T23:00:00+01:00;27200442
2019-03-18T00:00:00+01:00;12563558
2019-03-18T01:00:00+01:00;7054455
2019-03-18T02:00:00+01:00;6746476
2019-03-18T03:00:00+01:00;2441796
2019-03-18T04:00:00+01:00;2192887
2019-03-18T05:00:00+01:00;2172398
2019-03-18T06:00:00+01:00;2202572
2019-03-18T07:00:00+01:00;6768247
2019-03-18T08:00:00+01:00;10816102
2019-03-18T09:00:00+01:00;7724014
2019-03-18T10:00:00+01:00;7599854
2019-03-18T11:00:00+01:00;7892736
2019-03-18T12:00:00+01:00;18168422
2019-03-18T13:00:00+01:00;21554483
2019-03-18T14:00:00+01:00;9724980
2019-03-18T15:00:00+01:00;11996279
2019-03-18T16:00:00+01:00;7587054
2019-03-18T17:00:00+01:00;7390600
2019-03-18T18:00:00+01:00;21419268
2019-03-18T19:00:00+01:00;24481126
2019-03-18T20:00:00+01:00;26200337
2019-03-18T21:00:00+01:00;30455227
2019-03-18T22:00:00+01:00;27951923
2019-03-18T23:00:00+01:00;20738525
2019-03-19T00:00:00+01:00;12219477
2019-03-19T01:00:00+01:00;6480913
2019-03-19T02:00:00+01:00;8849720
2019-03-19T03:00:00+01:00;3012360
2019-03-19T04:00:00+01:00;1962530
2019-03-19T05:00:00+01:00;1760972
2019-03-19T06:00:00+01:00;1837226
2019-03-19T07:00:00+01:00;7236761
2019-03-19T08:00:00+01:00;6172928
2019-03-19T09:00:00+01:00;6440243
2019-03-19T10:00:00+01:00;10697523
2019-03-19T11:00:00+01:00;8076253
2019-03-19T12:00:00+01:00;15208123
