Time;Number of bytes transmitted
2019-03-23T03:00:00+01:00;9754606
2019-03-23T04:00:00+01:00;5254912
2019-03-23T05:00:00+01:00;2697591
2019-03-23T06:00:00+01:00;3842645
2019-03-23T07:00:00+01:00;6283917
2019-03-23T08:00:00+01:00;6871722
2019-03-23T09:00:00+01:00;23585160
2019-03-23T10:00:00+01:00;41122304
2019-03-23T11:00:00+01:00;32458018
2019-03-23T12:00:00+01:00;19793646
2019-03-23T13:00:00+01:00;20439995
2019-03-23T14:00:00+01:00;18225800
2019-03-23T15:00:00+01:00;14711432
2019-03-23T16:00:00+01:00;15360768
2019-03-23T17:00:00+01:00;21753907
2019-03-23T18:00:00+01:00;19133508
2019-03-23T19:00:00+01:00;20652134
2019-03-23T20:00:00+01:00;20531677
2019-03-23T21:00:00+01:00;23334997
2019-03-23T22:00:00+01:00;21675400
2019-03-23T23:00:00+01:00;21265459
2019-03-24T00:00:00+01:00;14292684
2019-03-24T01:00:00+01:00;31685017
2019-03-24T02:00:00+01:00;9487274
2019-03-24T03:00:00+01:00;5840657
2019-03-24T04:00:00+01:00;9760204
2019-03-24T05:00:00+01:00;3334832
2019-03-24T06:00:00+01:00;1635396
2019-03-24T07:00:00+01:00;2329344
2019-03-24T08:00:00+01:00;9379754
2019-03-24T09:00:00+01:00;15887042
2019-03-24T10:00:00+01:00;16737826
2019-03-24T11:00:00+01:00;20718728
2019-03-24T12:00:00+01:00;20877909
2019-03-24T13:00:00+01:00;23629960
2019-03-24T14:00:00+01:00;22491340
2019-03-24T15:00:00+01:00;23266730
2019-03-24T16:00:00+01:00;24263168
2019-03-24T17:00:00+01:00;25136179
2019-03-24T18:00:00+01:00;24105932
2019-03-24T19:00:00+01:00;24770355
2019-03-24T20:00:00+01:00;29211716
2019-03-24T21:00:00+01:00;33743752
2019-03-24T22:00:00+01:00;35871044
2019-03-24T23:00:00+01:00;22407970
2019-03-25T00:00:00+01:00;13007803
2019-03-25T01:00:00+01:00;31912669
2019-03-25T02:00:00+01:00;27530786
2019-03-25T03:00:00+01:00;17734485
