Time;Number of bytes transmitted on interface Network adapter 1
2019-03-26T12:00:00+01:00;598681
2019-03-26T13:00:00+01:00;1221597
2019-03-26T14:00:00+01:00;1118566
2019-03-26T15:00:00+01:00;2293811
2019-03-26T16:00:00+01:00;1503402
2019-03-26T17:00:00+01:00;566459
2019-03-26T18:00:00+01:00;316535
2019-03-26T19:00:00+01:00;675601
2019-03-26T20:00:00+01:00;1509512
2019-03-26T21:00:00+01:00;1995861
2019-03-26T22:00:00+01:00;374954
2019-03-26T23:00:00+01:00;1075609
2019-03-27T00:00:00+01:00;169233
2019-03-27T01:00:00+01:00;74683
2019-03-27T02:00:00+01:00;93184
2019-03-27T03:00:00+01:00;42598
2019-03-27T04:00:00+01:00;39748
2019-03-27T05:00:00+01:00;50414
2019-03-27T06:00:00+01:00;52070
2019-03-27T07:00:00+01:00;209902
2019-03-27T08:00:00+01:00;681181
2019-03-27T09:00:00+01:00;1648998
2019-03-27T10:00:00+01:00;2968780
2019-03-27T11:00:00+01:00;1018726
2019-03-27T12:00:00+01:00;867515
2019-03-27T13:00:00+01:00;1872930
2019-03-27T14:00:00+01:00;1478621
2019-03-27T15:00:00+01:00;1005568
2019-03-27T16:00:00+01:00;961860
2019-03-27T17:00:00+01:00;1605973
2019-03-27T18:00:00+01:00;273117
2019-03-27T19:00:00+01:00;2040490
2019-03-27T20:00:00+01:00;440814
2019-03-27T21:00:00+01:00;310528
2019-03-27T22:00:00+01:00;1694873
2019-03-27T23:00:00+01:00;1048746
2019-03-28T00:00:00+01:00;92091
2019-03-28T01:00:00+01:00;73420
2019-03-28T02:00:00+01:00;105984
2019-03-28T03:00:00+01:00;49766
2019-03-28T04:00:00+01:00;46677
2019-03-28T05:00:00+01:00;61064
2019-03-28T06:00:00+01:00;53521
2019-03-28T07:00:00+01:00;68454
2019-03-28T08:00:00+01:00;489028
2019-03-28T09:00:00+01:00;235502
2019-03-28T10:00:00+01:00;592793
2019-03-28T11:00:00+01:00;457113
2019-03-28T12:00:00+01:00;535978
2019-03-28T13:00:00+01:00;851319
2019-03-28T14:00:00+01:00;470135
2019-03-28T15:00:00+01:00;1488298
2019-03-28T16:00:00+01:00;1094468
2019-03-28T17:00:00+01:00;809454
2019-03-28T18:00:00+01:00;325973
2019-03-28T19:00:00+01:00;289075
2019-03-28T20:00:00+01:00;1098325
2019-03-28T21:00:00+01:00;777420
2019-03-28T22:00:00+01:00;1549653
2019-03-28T23:00:00+01:00;141004
2019-03-29T00:00:00+01:00;69461
2019-03-29T01:00:00+01:00;60979
2019-03-29T02:00:00+01:00;32699
2019-03-29T03:00:00+01:00;27255
2019-03-29T04:00:00+01:00;66184
2019-03-29T05:00:00+01:00;35840
2019-03-29T06:00:00+01:00;81988
2019-03-29T07:00:00+01:00;285747
2019-03-29T08:00:00+01:00;577518
