Time;Number of packets received on interface Network adapter 1
2019-03-18T03:00:00+01:00;2397
2019-03-18T04:00:00+01:00;1839
2019-03-18T05:00:00+01:00;1479
2019-03-18T06:00:00+01:00;1842
2019-03-18T07:00:00+01:00;4381
2019-03-18T08:00:00+01:00;9325
2019-03-18T09:00:00+01:00;9525
2019-03-18T10:00:00+01:00;10785
2019-03-18T11:00:00+01:00;7295
2019-03-18T12:00:00+01:00;6952
2019-03-18T13:00:00+01:00;10103
2019-03-18T14:00:00+01:00;11979
2019-03-18T15:00:00+01:00;6252
2019-03-18T16:00:00+01:00;7893
2019-03-18T17:00:00+01:00;6618
2019-03-18T18:00:00+01:00;6971
2019-03-18T19:00:00+01:00;7249
2019-03-18T20:00:00+01:00;10347
2019-03-18T21:00:00+01:00;9591
2019-03-18T22:00:00+01:00;7628
2019-03-18T23:00:00+01:00;7031
2019-03-19T00:00:00+01:00;4067
2019-03-19T01:00:00+01:00;1432
2019-03-19T02:00:00+01:00;2158
2019-03-19T03:00:00+01:00;2287
2019-03-19T04:00:00+01:00;1680
2019-03-19T05:00:00+01:00;3558
2019-03-19T06:00:00+01:00;2350
2019-03-19T07:00:00+01:00;3171
2019-03-19T08:00:00+01:00;9886
2019-03-19T09:00:00+01:00;7903
2019-03-19T10:00:00+01:00;12248
2019-03-19T11:00:00+01:00;6941
2019-03-19T12:00:00+01:00;7344
2019-03-19T13:00:00+01:00;10759
2019-03-19T14:00:00+01:00;12734
2019-03-19T15:00:00+01:00;8369
2019-03-19T16:00:00+01:00;7549
2019-03-19T17:00:00+01:00;7771
2019-03-19T18:00:00+01:00;8504
2019-03-19T19:00:00+01:00;10801
2019-03-19T20:00:00+01:00;11609
2019-03-19T21:00:00+01:00;11174
2019-03-19T22:00:00+01:00;7583
2019-03-19T23:00:00+01:00;6145
2019-03-20T00:00:00+01:00;4316
2019-03-20T01:00:00+01:00;2773
2019-03-20T02:00:00+01:00;1601
2019-03-20T03:00:00+01:00;1726
2019-03-20T04:00:00+01:00;1503
2019-03-20T05:00:00+01:00;1112
2019-03-20T06:00:00+01:00;1616
2019-03-20T07:00:00+01:00;5584
2019-03-20T08:00:00+01:00;10207
2019-03-20T09:00:00+01:00;6686
2019-03-20T10:00:00+01:00;9790
2019-03-20T11:00:00+01:00;6286
2019-03-20T12:00:00+01:00;6163
2019-03-20T13:00:00+01:00;9645
2019-03-20T14:00:00+01:00;10285
2019-03-20T15:00:00+01:00;6440
2019-03-20T16:00:00+01:00;8036
2019-03-20T17:00:00+01:00;7088
2019-03-20T18:00:00+01:00;6954
2019-03-20T19:00:00+01:00;6033
2019-03-20T20:00:00+01:00;11779
2019-03-20T21:00:00+01:00;10603
2019-03-20T22:00:00+01:00;6843
2019-03-20T23:00:00+01:00;5266
2019-03-21T00:00:00+01:00;3812
2019-03-21T01:00:00+01:00;2280
2019-03-21T02:00:00+01:00;1328
2019-03-21T03:00:00+01:00;1887
2019-03-21T04:00:00+01:00;2341
2019-03-21T05:00:00+01:00;5303
2019-03-21T06:00:00+01:00;2738
2019-03-21T07:00:00+01:00;4328
2019-03-21T08:00:00+01:00;9285
2019-03-21T09:00:00+01:00;7060
2019-03-21T10:00:00+01:00;9729
2019-03-21T11:00:00+01:00;7935
2019-03-21T12:00:00+01:00;6433
2019-03-21T13:00:00+01:00;8574
2019-03-21T14:00:00+01:00;9818
2019-03-21T15:00:00+01:00;10098
2019-03-21T16:00:00+01:00;10274
2019-03-21T17:00:00+01:00;9409
2019-03-21T18:00:00+01:00;5673
2019-03-21T19:00:00+01:00;7543
2019-03-21T20:00:00+01:00;9303
2019-03-21T21:00:00+01:00;7319
2019-03-21T22:00:00+01:00;7171
2019-03-21T23:00:00+01:00;4956
2019-03-22T00:00:00+01:00;3780
2019-03-22T01:00:00+01:00;3010
2019-03-22T02:00:00+01:00;1940
2019-03-22T03:00:00+01:00;2941
2019-03-22T04:00:00+01:00;2856
2019-03-22T05:00:00+01:00;5415
2019-03-22T06:00:00+01:00;2997
2019-03-22T07:00:00+01:00;5499
2019-03-22T08:00:00+01:00;9220
2019-03-22T09:00:00+01:00;6605
2019-03-22T10:00:00+01:00;8884
2019-03-22T11:00:00+01:00;5844
2019-03-22T12:00:00+01:00;7173
2019-03-22T13:00:00+01:00;9061
2019-03-22T14:00:00+01:00;20705
2019-03-22T15:00:00+01:00;13050
2019-03-22T16:00:00+01:00;7439
2019-03-22T17:00:00+01:00;9143
2019-03-22T18:00:00+01:00;5365
2019-03-22T19:00:00+01:00;4921
2019-03-22T20:00:00+01:00;4611
2019-03-22T21:00:00+01:00;4385
2019-03-22T22:00:00+01:00;2667
2019-03-22T23:00:00+01:00;4569
2019-03-23T00:00:00+01:00;2531
2019-03-23T01:00:00+01:00;2626
2019-03-23T02:00:00+01:00;2164
2019-03-23T03:00:00+01:00;137509
2019-03-23T04:00:00+01:00;125286
2019-03-23T05:00:00+01:00;151273
2019-03-23T06:00:00+01:00;47273
2019-03-23T07:00:00+01:00;59932
2019-03-23T08:00:00+01:00;67056
2019-03-23T09:00:00+01:00;45844
2019-03-23T10:00:00+01:00;92402
2019-03-23T11:00:00+01:00;40169
2019-03-23T12:00:00+01:00;85009
2019-03-23T13:00:00+01:00;123457
2019-03-23T14:00:00+01:00;43535
2019-03-23T15:00:00+01:00;150092
2019-03-23T16:00:00+01:00;104769
2019-03-23T17:00:00+01:00;79804
2019-03-23T18:00:00+01:00;107350
2019-03-23T19:00:00+01:00;145137
2019-03-23T20:00:00+01:00;113595
2019-03-23T21:00:00+01:00;85825
2019-03-23T22:00:00+01:00;68931
2019-03-23T23:00:00+01:00;2837
2019-03-24T00:00:00+01:00;3160
2019-03-24T01:00:00+01:00;3261
2019-03-24T02:00:00+01:00;2249
2019-03-24T03:00:00+01:00;2942
2019-03-24T04:00:00+01:00;1921
2019-03-24T05:00:00+01:00;5384
2019-03-24T06:00:00+01:00;1618
2019-03-24T07:00:00+01:00;2005
2019-03-24T08:00:00+01:00;3229
2019-03-24T09:00:00+01:00;5090
2019-03-24T10:00:00+01:00;8726
2019-03-24T11:00:00+01:00;10690
2019-03-24T12:00:00+01:00;7586
2019-03-24T13:00:00+01:00;6766
2019-03-24T14:00:00+01:00;10017
2019-03-24T15:00:00+01:00;9856
2019-03-24T16:00:00+01:00;11097
2019-03-24T17:00:00+01:00;10755
2019-03-24T18:00:00+01:00;10363
2019-03-24T19:00:00+01:00;8344
2019-03-24T20:00:00+01:00;10138
2019-03-24T21:00:00+01:00;11527
