Time;Host memory usage
2019-03-15T02:00:00+01:00;17172301960
2019-03-15T03:00:00+01:00;17172092245
2019-03-15T04:00:00+01:00;17172424294
2019-03-15T05:00:00+01:00;17172529152
2019-03-15T06:00:00+01:00;17173665109
2019-03-15T07:00:00+01:00;17174486493
2019-03-15T08:00:00+01:00;17174626304
2019-03-15T09:00:00+01:00;17174486493
2019-03-15T10:00:00+01:00;17172529152
2019-03-15T11:00:00+01:00;17172511675
2019-03-15T12:00:00+01:00;17172494199
2019-03-15T13:00:00+01:00;17172459246
2019-03-15T14:00:00+01:00;17172476723
2019-03-15T15:00:00+01:00;17172406818
2019-03-15T16:00:00+01:00;17172529152
2019-03-15T17:00:00+01:00;17172529152
2019-03-15T18:00:00+01:00;17172441770
2019-03-15T19:00:00+01:00;17172476723
2019-03-15T20:00:00+01:00;17172406818
2019-03-15T21:00:00+01:00;17172564104
2019-03-15T22:00:00+01:00;17172529152
2019-03-15T23:00:00+01:00;17172459246
2019-03-16T00:00:00+01:00;17171934958
2019-03-16T01:00:00+01:00;17171672814
2019-03-16T02:00:00+01:00;17172424294
2019-03-16T03:00:00+01:00;17172267008
2019-03-16T04:00:00+01:00;17172529152
2019-03-16T05:00:00+01:00;17172529152
2019-03-16T06:00:00+01:00;17174171921
2019-03-16T07:00:00+01:00;17174923400
2019-03-16T08:00:00+01:00;17175028258
2019-03-16T09:00:00+01:00;17175237973
2019-03-16T10:00:00+01:00;17175203020
2019-03-16T11:00:00+01:00;17175552546
2019-03-16T12:00:00+01:00;17175115639
2019-03-16T13:00:00+01:00;17175255449
2019-03-16T14:00:00+01:00;17175168068
2019-03-16T15:00:00+01:00;17174905924
2019-03-16T16:00:00+01:00;17175360307
2019-03-16T17:00:00+01:00;17175325354
2019-03-16T18:00:00+01:00;17174836019
2019-03-16T19:00:00+01:00;17174381636
2019-03-16T20:00:00+01:00;17173577728
2019-03-16T21:00:00+01:00;17172511675
2019-03-16T22:00:00+01:00;17172424294
2019-03-16T23:00:00+01:00;17172406818
2019-03-17T00:00:00+01:00;17172529152
2019-03-17T01:00:00+01:00;17172599057
2019-03-17T02:00:00+01:00;17172249531
2019-03-17T03:00:00+01:00;17172459246
2019-03-17T04:00:00+01:00;17172476723
2019-03-17T05:00:00+01:00;17172511675
2019-03-17T06:00:00+01:00;17173158297
2019-03-17T07:00:00+01:00;17172476723
2019-03-17T08:00:00+01:00;17170921335
2019-03-17T09:00:00+01:00;17172494199
2019-03-17T10:00:00+01:00;17172668962
2019-03-17T11:00:00+01:00;17172826248
2019-03-17T12:00:00+01:00;17173228202
2019-03-17T13:00:00+01:00;17172529152
2019-03-17T14:00:00+01:00;17172529152
2019-03-17T15:00:00+01:00;17171952435
2019-03-17T16:00:00+01:00;17172476723
2019-03-17T17:00:00+01:00;17172284484
2019-03-17T18:00:00+01:00;17172529152
2019-03-17T19:00:00+01:00;17173035963
2019-03-17T20:00:00+01:00;17173193250
2019-03-17T21:00:00+01:00;17173123345
2019-03-17T22:00:00+01:00;17173560251
2019-03-17T23:00:00+01:00;17171288337
2019-03-18T00:00:00+01:00;17170903859
2019-03-18T01:00:00+01:00;17170414523
2019-03-18T02:00:00+01:00;17170432000
2019-03-18T03:00:00+01:00;17170466952
2019-03-18T04:00:00+01:00;17170449476
2019-03-18T05:00:00+01:00;17170432000
2019-03-18T06:00:00+01:00;17172319436
2019-03-18T07:00:00+01:00;17173542775
2019-03-18T08:00:00+01:00;17174364160
2019-03-18T09:00:00+01:00;17174626304
2019-03-18T10:00:00+01:00;17174626304
2019-03-18T11:00:00+01:00;17174626304
2019-03-18T12:00:00+01:00;17174626304
2019-03-18T13:00:00+01:00;17174556398
2019-03-18T14:00:00+01:00;17174626304
2019-03-18T15:00:00+01:00;17167198890
2019-03-18T16:00:00+01:00;17169453329
2019-03-18T17:00:00+01:00;17169435852
2019-03-18T18:00:00+01:00;17169296042
2019-03-18T19:00:00+01:00;17165468740
2019-03-18T20:00:00+01:00;17168264942
2019-03-18T21:00:00+01:00;17170169856
2019-03-18T22:00:00+01:00;17172529152
2019-03-18T23:00:00+01:00;17172529152
2019-03-19T00:00:00+01:00;17172529152
2019-03-19T01:00:00+01:00;17172459246
2019-03-19T02:00:00+01:00;17172459246
2019-03-19T03:00:00+01:00;17172476723
2019-03-19T04:00:00+01:00;17172284484
2019-03-19T05:00:00+01:00;17172424294
2019-03-19T06:00:00+01:00;17173647633
2019-03-19T07:00:00+01:00;17174416588
2019-03-19T08:00:00+01:00;17174399112
2019-03-19T09:00:00+01:00;17173560251
2019-03-19T10:00:00+01:00;17174154444
2019-03-19T11:00:00+01:00;17172756343
2019-03-19T12:00:00+01:00;17172668962
2019-03-19T13:00:00+01:00;17171480576
2019-03-19T14:00:00+01:00;17171865053
2019-03-19T15:00:00+01:00;17172896153
2019-03-19T16:00:00+01:00;17173088392
2019-03-19T17:00:00+01:00;17173577728
2019-03-19T18:00:00+01:00;17173350536
2019-03-19T19:00:00+01:00;17173368012
2019-03-19T20:00:00+01:00;17173577728
2019-03-19T21:00:00+01:00;17173490346
2019-03-19T22:00:00+01:00;17173490346
2019-03-19T23:00:00+01:00;17173577728
2019-03-20T00:00:00+01:00;17173717538
2019-03-20T01:00:00+01:00;17172861201
2019-03-20T02:00:00+01:00;17172721390
2019-03-20T03:00:00+01:00;17173333060
2019-03-20T04:00:00+01:00;17173158297
2019-03-20T05:00:00+01:00;17172599057
2019-03-20T06:00:00+01:00;17173717538
2019-03-20T07:00:00+01:00;17175482641
2019-03-20T08:00:00+01:00;17175674880
2019-03-20T09:00:00+01:00;17175674880
2019-03-20T10:00:00+01:00;17175500117
2019-03-20T11:00:00+01:00;17175587498
