Time;CPU_usage;ANB_read;ANB_write;AN_read;AN_write;Free_disk;B_rec;B_trans;P_rec;P_trans;H_memory;G_memory;C_storage
2019-03-05T04:00:00+01:00;60616666;256;3669;0;0;75807113216;29474;20718;828;750;17171480576;354348782;1,22E+11
2019-03-05T05:00:00+01:00;52900000;0;3874;0;0;75807113216;115797;54442;2668;2180;17171480576;400206506;1,22E+11
2019-03-05T06:00:00+01:00;62800000;54425;25668;1;0;75807113216;83712;142267;1992;2082;17172668962;511949755;1,22E+11
2019-03-05T07:00:00+01:00;184166666;17;4181;0;0;75807113216;293768;1211665;6438;6931;17173577728;655202713;1,22E+11
2019-03-05T08:00:00+01:00;445233333;148906;187579;1;0;75807113216;674201;699716;11718;11513;17174311731;787026193;1,22E+11
2019-03-05T09:00:00+01:00;290866666;34;6758;0;0;75807113216;494045;2356445;9211;9466;17174329207;781241548;1,22E+11
2019-03-05T10:00:00+01:00;604700000;153;14950;0;0;75807113216;956791;692872;14671;14219;17172546628;824303069;1,22E+11
2019-03-05T11:00:00+01:00;460266666;0;7338;0;0;75807113216;815462;476859;12288;11833;17170432000;726785501;1,22E+11
2019-03-05T12:00:00+01:00;225600000;0;17015;0;0;75807113216;446190;1274692;7028;7089;17170973764;801251874;1,22E+11
2019-03-05T13:00:00+01:00;312133333;153;6400;0;0;75807113216;861525;1287867;9166;8822;17172074769;1144870229;1,22E+11
2019-03-05T14:00:00+01:00;534700000;136;7287;0;0;75807113216;648482;1440836;13677;13810;17172389341;1342404471;1,22E+11
2019-03-05T15:00:00+01:00;354300000;4471;6280;0;0;75807113216;1153826;1302528;10779;10045;17172459246;1018901299;1,22E+11
2019-03-05T16:00:00+01:00;501700000;34;7884;0;0;75807113216;611362;1377280;12512;12658;17172284484;1107680733;1,22E+11
2019-03-05T17:00:00+01:00;314333333;102;6485;0;0;75807113216;586325;803037;8648;8642;17172476723;1027482146;1,22E+11
2019-03-05T18:00:00+01:00;341050000;17;767607;0;1;75367132706;1659204;232669;9451;7194;17172651485;1634485316;1,22E+11
