Time;Average number of bytes written to the disk Hard disk 1
2019-03-22T01:00:00+01:00;3447
2019-03-22T02:00:00+01:00;3498
2019-03-22T03:00:00+01:00;3020
2019-03-22T04:00:00+01:00;3840
2019-03-22T05:00:00+01:00;3891
2019-03-22T06:00:00+01:00;3089
2019-03-22T07:00:00+01:00;4505
2019-03-22T08:00:00+01:00;6587
2019-03-22T09:00:00+01:00;23142
2019-03-22T10:00:00+01:00;6280
2019-03-22T11:00:00+01:00;5529
2019-03-22T12:00:00+01:00;5393
2019-03-22T13:00:00+01:00;25753
2019-03-22T14:00:00+01:00;8140
2019-03-22T15:00:00+01:00;8174
2019-03-22T16:00:00+01:00;5410
2019-03-22T17:00:00+01:00;5290
2019-03-22T18:00:00+01:00;6417
2019-03-22T19:00:00+01:00;5751
2019-03-22T20:00:00+01:00;5137
2019-03-22T21:00:00+01:00;5034
2019-03-22T22:00:00+01:00;36676
2019-03-22T23:00:00+01:00;3618
2019-03-23T00:00:00+01:00;3788
2019-03-23T01:00:00+01:00;3293
2019-03-23T02:00:00+01:00;11468
2019-03-23T03:00:00+01:00;23108
2019-03-23T04:00:00+01:00;12458
2019-03-23T05:00:00+01:00;28381
2019-03-23T06:00:00+01:00;98269
2019-03-23T07:00:00+01:00;4522
2019-03-23T08:00:00+01:00;4795
2019-03-23T09:00:00+01:00;5495
2019-03-23T10:00:00+01:00;8601
2019-03-23T11:00:00+01:00;6673
2019-03-23T12:00:00+01:00;7987
2019-03-23T13:00:00+01:00;7185
2019-03-23T14:00:00+01:00;7185
2019-03-23T15:00:00+01:00;11110
2019-03-23T16:00:00+01:00;8704
2019-03-23T17:00:00+01:00;7304
2019-03-23T18:00:00+01:00;8089
2019-03-23T19:00:00+01:00;20974
2019-03-23T20:00:00+01:00;6673
2019-03-23T21:00:00+01:00;22835
2019-03-23T22:00:00+01:00;10547
2019-03-23T23:00:00+01:00;4078
2019-03-24T00:00:00+01:00;3396
2019-03-24T01:00:00+01:00;3089
2019-03-24T02:00:00+01:00;21350
2019-03-24T03:00:00+01:00;3157
2019-03-24T04:00:00+01:00;2542
2019-03-24T05:00:00+01:00;3498
2019-03-24T06:00:00+01:00;13806
2019-03-24T07:00:00+01:00;3413
2019-03-24T08:00:00+01:00;5051
2019-03-24T09:00:00+01:00;5666
2019-03-24T10:00:00+01:00;5888
2019-03-24T11:00:00+01:00;9864
2019-03-24T12:00:00+01:00;6912
2019-03-24T13:00:00+01:00;5017
2019-03-24T14:00:00+01:00;7662
2019-03-24T15:00:00+01:00;8516
2019-03-24T16:00:00+01:00;228471
2019-03-24T17:00:00+01:00;6894
2019-03-24T18:00:00+01:00;8055
2019-03-24T19:00:00+01:00;6963
2019-03-24T20:00:00+01:00;11741
2019-03-24T21:00:00+01:00;9113
2019-03-24T22:00:00+01:00;6246
2019-03-24T23:00:00+01:00;7236
2019-03-25T00:00:00+01:00;9813
2019-03-25T01:00:00+01:00;3242
2019-03-25T02:00:00+01:00;5563
2019-03-25T03:00:00+01:00;2798
2019-03-25T04:00:00+01:00;3003
2019-03-25T05:00:00+01:00;2833
2019-03-25T06:00:00+01:00;5239
2019-03-25T07:00:00+01:00;3396
2019-03-25T08:00:00+01:00;9318
2019-03-25T09:00:00+01:00;5632
2019-03-25T10:00:00+01:00;13602
2019-03-25T11:00:00+01:00;7389
2019-03-25T12:00:00+01:00;7731
2019-03-25T13:00:00+01:00;7287
2019-03-25T14:00:00+01:00;9198
2019-03-25T15:00:00+01:00;7748
2019-03-25T16:00:00+01:00;6792
2019-03-25T17:00:00+01:00;6519
2019-03-25T18:00:00+01:00;7270
2019-03-25T19:00:00+01:00;6673
2019-03-25T20:00:00+01:00;6707
2019-03-25T21:00:00+01:00;7748
2019-03-25T22:00:00+01:00;6058
2019-03-25T23:00:00+01:00;8038
2019-03-26T00:00:00+01:00;4556
2019-03-26T01:00:00+01:00;3072
2019-03-26T02:00:00+01:00;3464
2019-03-26T03:00:00+01:00;2986
2019-03-26T04:00:00+01:00;2884
2019-03-26T05:00:00+01:00;3925
2019-03-26T06:00:00+01:00;234513
2019-03-26T07:00:00+01:00;3908
2019-03-26T08:00:00+01:00;10803
2019-03-26T09:00:00+01:00;5973
2019-03-26T10:00:00+01:00;6980
2019-03-26T11:00:00+01:00;8704
2019-03-26T12:00:00+01:00;10240
2019-03-26T13:00:00+01:00;6656
2019-03-26T14:00:00+01:00;74956
2019-03-26T15:00:00+01:00;8516
2019-03-26T16:00:00+01:00;8584
2019-03-26T17:00:00+01:00;6929
2019-03-26T18:00:00+01:00;8021
2019-03-26T19:00:00+01:00;5853
2019-03-26T20:00:00+01:00;7526
2019-03-26T21:00:00+01:00;6877
2019-03-26T22:00:00+01:00;6485
2019-03-26T23:00:00+01:00;5410
2019-03-27T00:00:00+01:00;4369
2019-03-27T01:00:00+01:00;3925
2019-03-27T02:00:00+01:00;9557
2019-03-27T03:00:00+01:00;2816
2019-03-27T04:00:00+01:00;2355
2019-03-27T05:00:00+01:00;3566
2019-03-27T06:00:00+01:00;3225
2019-03-27T07:00:00+01:00;3822
2019-03-27T08:00:00+01:00;7731
2019-03-27T09:00:00+01:00;6075
2019-03-27T10:00:00+01:00;6673
2019-03-27T11:00:00+01:00;11264
2019-03-27T12:00:00+01:00;5614
2019-03-27T13:00:00+01:00;7748
2019-03-27T14:00:00+01:00;9062
2019-03-27T15:00:00+01:00;7526
2019-03-27T16:00:00+01:00;8738
2019-03-27T17:00:00+01:00;6092
2019-03-27T18:00:00+01:00;9762
2019-03-27T19:00:00+01:00;5870
2019-03-27T20:00:00+01:00;12612
2019-03-27T21:00:00+01:00;8840
2019-03-27T22:00:00+01:00;5222
2019-03-27T23:00:00+01:00;5751
2019-03-28T00:00:00+01:00;4027
2019-03-28T01:00:00+01:00;3686
2019-03-28T02:00:00+01:00;14421
2019-03-28T03:00:00+01:00;3310
2019-03-28T04:00:00+01:00;3208
2019-03-28T05:00:00+01:00;3089
2019-03-28T06:00:00+01:00;10547
2019-03-28T07:00:00+01:00;3720
2019-03-28T08:00:00+01:00;6502
2019-03-28T09:00:00+01:00;5324
2019-03-28T10:00:00+01:00;7202
2019-03-28T11:00:00+01:00;8465
2019-03-28T12:00:00+01:00;8806
2019-03-28T13:00:00+01:00;7936
2019-03-28T14:00:00+01:00;15650
2019-03-28T15:00:00+01:00;9915
2019-03-28T16:00:00+01:00;15138
2019-03-28T17:00:00+01:00;77056
2019-03-28T18:00:00+01:00;7884
2019-03-28T19:00:00+01:00;5990
2019-03-28T20:00:00+01:00;15257
2019-03-28T21:00:00+01:00;28142
2019-03-28T22:00:00+01:00;14899
2019-03-28T23:00:00+01:00;7458
2019-03-29T00:00:00+01:00;7901
2019-03-29T01:00:00+01:00;3157
2019-03-29T02:00:00+01:00;2918
2019-03-29T03:00:00+01:00;3242
2019-03-29T04:00:00+01:00;7509
2019-03-29T05:00:00+01:00;4010
2019-03-29T06:00:00+01:00;6587
2019-03-29T07:00:00+01:00;5956
2019-03-29T08:00:00+01:00;8857
2019-03-29T09:00:00+01:00;7560
2019-03-29T10:00:00+01:00;9301
2019-03-29T11:00:00+01:00;6621
2019-03-29T12:00:00+01:00;5956
2019-03-29T13:00:00+01:00;6604
2019-03-29T14:00:00+01:00;10496
2019-03-29T15:00:00+01:00;7031
2019-03-29T16:00:00+01:00;7304
2019-03-29T17:00:00+01:00;5410
2019-03-29T18:00:00+01:00;5802
2019-03-29T19:00:00+01:00;7543
2019-03-29T20:00:00+01:00;6673
2019-03-29T21:00:00+01:00;10530
2019-03-29T22:00:00+01:00;16401
