Time;Guest memory usage
2019-03-11T10:00:00+01:00;1016052667
2019-03-11T11:00:00+01:00;852894242
2019-03-11T12:00:00+01:00;1007471820
2019-03-11T13:00:00+01:00;1414022212
2019-03-11T14:00:00+01:00;1525713032
2019-03-11T15:00:00+01:00;1041847637
2019-03-11T16:00:00+01:00;726907835
2019-03-11T17:00:00+01:00;652354082
2019-03-11T18:00:00+01:00;724006775
2019-03-11T19:00:00+01:00;961666525
2019-03-11T20:00:00+01:00;933005448
2019-03-11T21:00:00+01:00;1113343044
2019-03-11T22:00:00+01:00;898664584
2019-03-11T23:00:00+01:00;781328930
2019-03-12T00:00:00+01:00;643825664
2019-03-12T01:00:00+01:00;446064230
2019-03-12T02:00:00+01:00;454627601
2019-03-12T03:00:00+01:00;339969666
2019-03-12T04:00:00+01:00;374376584
2019-03-12T05:00:00+01:00;423135368
2019-03-12T06:00:00+01:00;443180646
2019-03-12T07:00:00+01:00;640889651
2019-03-12T08:00:00+01:00;872887091
2019-03-12T09:00:00+01:00;1016052667
2019-03-12T10:00:00+01:00;706827605
2019-03-12T11:00:00+01:00;769794594
2019-03-12T12:00:00+01:00;718239607
2019-03-12T13:00:00+01:00;892967321
2019-03-12T14:00:00+01:00;1405371460
2019-03-12T15:00:00+01:00;841359906
2019-03-12T16:00:00+01:00;769812070
2019-03-12T17:00:00+01:00;809937578
2019-03-12T18:00:00+01:00;746970589
2019-03-12T19:00:00+01:00;789769966
2019-03-12T20:00:00+01:00;792758408
2019-03-12T21:00:00+01:00;924407125
2019-03-12T22:00:00+01:00;861422660
2019-03-12T23:00:00+01:00;824180736
2019-03-13T00:00:00+01:00;620861849
2019-03-13T01:00:00+01:00;468993092
2019-03-13T02:00:00+01:00;374376584
2019-03-13T03:00:00+01:00;328553813
2019-03-13T04:00:00+01:00;368679321
2019-03-13T05:00:00+01:00;405938722
2019-03-13T06:00:00+01:00;580648960
2019-03-13T07:00:00+01:00;686729898
2019-03-13T08:00:00+01:00;835697595
2019-03-13T09:00:00+01:00;850010658
2019-03-13T10:00:00+01:00;864323720
2019-03-13T11:00:00+01:00;898682060
2019-03-13T12:00:00+01:00;798455671
2019-03-13T13:00:00+01:00;1004658141
2019-03-13T14:00:00+01:00;767050820
2019-03-13T15:00:00+01:00;738319837
2019-03-13T16:00:00+01:00;672416836
2019-03-13T17:00:00+01:00;669585681
2019-03-13T18:00:00+01:00;887165201
2019-03-13T19:00:00+01:00;732622574
2019-03-13T20:00:00+01:00;850028134
2019-03-13T21:00:00+01:00;970212420
2019-03-13T22:00:00+01:00;552110216
2019-03-13T23:00:00+01:00;609414894
2019-03-14T00:00:00+01:00;595101832
2019-03-14T01:00:00+01:00;483323630
2019-03-14T02:00:00+01:00;557790003
2019-03-14T03:00:00+01:00;423135368
2019-03-14T04:00:00+01:00;431716215
2019-03-14T05:00:00+01:00;428850107
2019-03-14T06:00:00+01:00;534878617
2019-03-14T07:00:00+01:00;592200772
2019-03-14T08:00:00+01:00;695345698
2019-03-14T09:00:00+01:00;726837930
2019-03-14T10:00:00+01:00;626629017
2019-03-14T11:00:00+01:00;658068821
2019-03-14T12:00:00+01:00;767015867
2019-03-14T13:00:00+01:00;838528750
2019-03-14T14:00:00+01:00;812803686
2019-03-14T15:00:00+01:00;881520366
2019-03-14T16:00:00+01:00;1064706594
2019-03-14T17:00:00+01:00;1365280904
2019-03-14T18:00:00+01:00;801339255
2019-03-14T19:00:00+01:00;1007454344
2019-03-14T20:00:00+01:00;1079002180
2019-03-14T21:00:00+01:00;881415509
2019-03-14T22:00:00+01:00;827081796
2019-03-14T23:00:00+01:00;552057787
2019-03-15T00:00:00+01:00;546360524
2019-03-15T01:00:00+01:00;612211097
2019-03-15T02:00:00+01:00;560656110
2019-03-15T03:00:00+01:00;377260168
2019-03-15T04:00:00+01:00;428850107
2019-03-15T05:00:00+01:00;340018244
2019-03-15T06:00:00+01:00;466126984
2019-03-15T07:00:00+01:00;735383825
2019-03-15T08:00:00+01:00;1018866346
2019-03-15T09:00:00+01:00;1236515771
2019-03-15T10:00:00+01:00;1119127688
2019-03-15T11:00:00+01:00;890013832
2019-03-15T12:00:00+01:00;658138726
2019-03-15T13:00:00+01:00;1076205977
2019-03-15T14:00:00+01:00;1016035191
2019-03-15T15:00:00+01:00;998925926
2019-03-15T16:00:00+01:00;881467938
2019-03-15T17:00:00+01:00;829947904
2019-03-15T18:00:00+01:00;981641898
2019-03-15T19:00:00+01:00;706705271
2019-03-15T20:00:00+01:00;552075264
2019-03-15T21:00:00+01:00;678079146
2019-03-15T22:00:00+01:00;466092032
2019-03-15T23:00:00+01:00;365813213
2019-03-16T00:00:00+01:00;463190971
2019-03-16T01:00:00+01:00;285562197
2019-03-16T02:00:00+01:00;331402444
2019-03-16T03:00:00+01:00;12308901614
2019-03-16T04:00:00+01:00;11527188206
2019-03-16T05:00:00+01:00;10957444437
2019-03-16T06:00:00+01:00;3478458641
2019-03-16T07:00:00+01:00;5857834871
2019-03-16T08:00:00+01:00;5279457826
2019-03-16T09:00:00+01:00;3358221926
2019-03-16T10:00:00+01:00;9064782233
2019-03-16T11:00:00+01:00;1276606327
2019-03-16T12:00:00+01:00;8251576593
