Time;Number of packets transmitted on interface Network adapter 1
2019-03-22T05:00:00+01:00;5395
2019-03-22T06:00:00+01:00;2989
2019-03-22T07:00:00+01:00;5801
2019-03-22T08:00:00+01:00;9118
2019-03-22T09:00:00+01:00;6195
2019-03-22T10:00:00+01:00;9402
2019-03-22T11:00:00+01:00;5721
2019-03-22T12:00:00+01:00;6790
2019-03-22T13:00:00+01:00;9054
2019-03-22T14:00:00+01:00;20501
2019-03-22T15:00:00+01:00;12447
2019-03-22T16:00:00+01:00;7604
2019-03-22T17:00:00+01:00;9229
2019-03-22T18:00:00+01:00;5319
2019-03-22T19:00:00+01:00;4941
2019-03-22T20:00:00+01:00;4531
2019-03-22T21:00:00+01:00;3958
2019-03-22T22:00:00+01:00;2559
2019-03-22T23:00:00+01:00;4535
2019-03-23T00:00:00+01:00;2525
2019-03-23T01:00:00+01:00;2617
2019-03-23T02:00:00+01:00;2201
2019-03-23T03:00:00+01:00;60052
2019-03-23T04:00:00+01:00;53419
2019-03-23T05:00:00+01:00;62491
2019-03-23T06:00:00+01:00;35569
2019-03-23T07:00:00+01:00;37204
2019-03-23T08:00:00+01:00;40823
2019-03-23T09:00:00+01:00;34913
2019-03-23T10:00:00+01:00;46667
2019-03-23T11:00:00+01:00;35640
2019-03-23T12:00:00+01:00;44534
2019-03-23T13:00:00+01:00;60450
2019-03-23T14:00:00+01:00;37497
2019-03-23T15:00:00+01:00;72719
2019-03-23T16:00:00+01:00;59617
2019-03-23T17:00:00+01:00;46202
2019-03-23T18:00:00+01:00;50090
2019-03-23T19:00:00+01:00;62462
2019-03-23T20:00:00+01:00;50117
2019-03-23T21:00:00+01:00;41210
2019-03-23T22:00:00+01:00;35928
2019-03-23T23:00:00+01:00;2774
2019-03-24T00:00:00+01:00;3089
2019-03-24T01:00:00+01:00;3233
2019-03-24T02:00:00+01:00;2153
2019-03-24T03:00:00+01:00;2875
2019-03-24T04:00:00+01:00;1913
2019-03-24T05:00:00+01:00;5410
2019-03-24T06:00:00+01:00;1611
2019-03-24T07:00:00+01:00;2138
2019-03-24T08:00:00+01:00;3183
2019-03-24T09:00:00+01:00;4989
2019-03-24T10:00:00+01:00;8515
2019-03-24T11:00:00+01:00;9950
2019-03-24T12:00:00+01:00;7480
2019-03-24T13:00:00+01:00;6666
2019-03-24T14:00:00+01:00;9720
2019-03-24T15:00:00+01:00;9832
2019-03-24T16:00:00+01:00;10034
2019-03-24T17:00:00+01:00;10809
2019-03-24T18:00:00+01:00;10176
2019-03-24T19:00:00+01:00;7863
2019-03-24T20:00:00+01:00;9969
2019-03-24T21:00:00+01:00;11435
2019-03-24T22:00:00+01:00;9737
2019-03-24T23:00:00+01:00;6820
2019-03-25T00:00:00+01:00;4282
2019-03-25T01:00:00+01:00;3246
2019-03-25T02:00:00+01:00;2648
2019-03-25T03:00:00+01:00;2732
2019-03-25T04:00:00+01:00;2534
2019-03-25T05:00:00+01:00;1904
2019-03-25T06:00:00+01:00;3222
2019-03-25T07:00:00+01:00;3875
2019-03-25T08:00:00+01:00;9106
2019-03-25T09:00:00+01:00;9656
2019-03-25T10:00:00+01:00;10248
2019-03-25T11:00:00+01:00;9754
2019-03-25T12:00:00+01:00;10480
2019-03-25T13:00:00+01:00;10134
2019-03-25T14:00:00+01:00;17123
2019-03-25T15:00:00+01:00;9839
2019-03-25T16:00:00+01:00;9341
2019-03-25T17:00:00+01:00;8157
2019-03-25T18:00:00+01:00;9217
2019-03-25T19:00:00+01:00;9023
2019-03-25T20:00:00+01:00;8550
2019-03-25T21:00:00+01:00;9071
2019-03-25T22:00:00+01:00;6645
2019-03-25T23:00:00+01:00;4405
2019-03-26T00:00:00+01:00;1837
2019-03-26T01:00:00+01:00;3367
2019-03-26T02:00:00+01:00;1692
2019-03-26T03:00:00+01:00;1716
2019-03-26T04:00:00+01:00;1710
2019-03-26T05:00:00+01:00;1827
2019-03-26T06:00:00+01:00;3310
2019-03-26T07:00:00+01:00;2464
2019-03-26T08:00:00+01:00;9815
2019-03-26T09:00:00+01:00;9741
2019-03-26T10:00:00+01:00;10920
2019-03-26T11:00:00+01:00;9514
2019-03-26T12:00:00+01:00;8428
2019-03-26T13:00:00+01:00;11646
2019-03-26T14:00:00+01:00;17902
2019-03-26T15:00:00+01:00;10968
2019-03-26T16:00:00+01:00;13903
2019-03-26T17:00:00+01:00;10386
2019-03-26T18:00:00+01:00;7463
2019-03-26T19:00:00+01:00;8460
2019-03-26T20:00:00+01:00;10900
2019-03-26T21:00:00+01:00;10449
2019-03-26T22:00:00+01:00;8008
2019-03-26T23:00:00+01:00;7587
2019-03-27T00:00:00+01:00;4003
2019-03-27T01:00:00+01:00;2438
2019-03-27T02:00:00+01:00;1465
2019-03-27T03:00:00+01:00;1678
2019-03-27T04:00:00+01:00;2682
2019-03-27T05:00:00+01:00;3496
2019-03-27T06:00:00+01:00;1405
2019-03-27T07:00:00+01:00;3237
2019-03-27T08:00:00+01:00;13592
2019-03-27T09:00:00+01:00;10580
2019-03-27T10:00:00+01:00;9915
2019-03-27T11:00:00+01:00;9603
2019-03-27T12:00:00+01:00;6151
2019-03-27T13:00:00+01:00;11870
2019-03-27T14:00:00+01:00;13243
2019-03-27T15:00:00+01:00;6772
2019-03-27T16:00:00+01:00;14998
2019-03-27T17:00:00+01:00;8480
2019-03-27T18:00:00+01:00;6919
2019-03-27T19:00:00+01:00;6718
2019-03-27T20:00:00+01:00;9144
2019-03-27T21:00:00+01:00;7404
2019-03-27T22:00:00+01:00;6298
2019-03-27T23:00:00+01:00;5181
2019-03-28T00:00:00+01:00;2722
2019-03-28T01:00:00+01:00;1434
2019-03-28T02:00:00+01:00;2518
2019-03-28T03:00:00+01:00;2275
2019-03-28T04:00:00+01:00;3389
2019-03-28T05:00:00+01:00;4359
2019-03-28T06:00:00+01:00;2329
2019-03-28T07:00:00+01:00;3141
2019-03-28T08:00:00+01:00;8557
2019-03-28T09:00:00+01:00;5366
2019-03-28T10:00:00+01:00;12109
2019-03-28T11:00:00+01:00;9576
2019-03-28T12:00:00+01:00;8269
2019-03-28T13:00:00+01:00;12737
2019-03-28T14:00:00+01:00;13483
2019-03-28T15:00:00+01:00;11065
2019-03-28T16:00:00+01:00;11175
2019-03-28T17:00:00+01:00;12671
2019-03-28T18:00:00+01:00;9440
2019-03-28T19:00:00+01:00;6898
2019-03-28T20:00:00+01:00;11548
2019-03-28T21:00:00+01:00;9108
2019-03-28T22:00:00+01:00;11699
2019-03-28T23:00:00+01:00;6154
2019-03-29T00:00:00+01:00;2320
2019-03-29T01:00:00+01:00;2209
2019-03-29T02:00:00+01:00;2287
2019-03-29T03:00:00+01:00;1749
2019-03-29T04:00:00+01:00;2575
2019-03-29T05:00:00+01:00;2351
2019-03-29T06:00:00+01:00;2559
2019-03-29T07:00:00+01:00;6104
2019-03-29T08:00:00+01:00;13040
2019-03-29T09:00:00+01:00;8815
2019-03-29T10:00:00+01:00;8975
2019-03-29T11:00:00+01:00;10464
2019-03-29T12:00:00+01:00;5423
2019-03-29T13:00:00+01:00;8107
2019-03-29T14:00:00+01:00;15404
2019-03-29T15:00:00+01:00;9213
2019-03-29T16:00:00+01:00;10951
2019-03-29T17:00:00+01:00;8192
2019-03-29T18:00:00+01:00;5092
2019-03-29T19:00:00+01:00;6456
2019-03-29T20:00:00+01:00;5048
2019-03-29T21:00:00+01:00;6482
2019-03-29T22:00:00+01:00;7468
