Time;Number of bytes transmitted on interface Network adapter 1
2019-03-14T10:00:00+01:00;52497
2019-03-14T11:00:00+01:00;15581
2019-03-14T12:00:00+01:00;67293
2019-03-14T13:00:00+01:00;17015
2019-03-14T14:00:00+01:00;23739
2019-03-14T15:00:00+01:00;20292
2019-03-14T16:00:00+01:00;26248
2019-03-14T17:00:00+01:00;18534
2019-03-14T18:00:00+01:00;69649
2019-03-14T19:00:00+01:00;25907
2019-03-14T20:00:00+01:00;12680
2019-03-14T21:00:00+01:00;16878
2019-03-14T22:00:00+01:00;3959
2019-03-14T23:00:00+01:00;28723
2019-03-15T00:00:00+01:00;14199
2019-03-15T01:00:00+01:00;4181
2019-03-15T02:00:00+01:00;3481
2019-03-15T03:00:00+01:00;2372
2019-03-15T04:00:00+01:00;11212
2019-03-15T05:00:00+01:00;19114
2019-03-15T06:00:00+01:00;22357
2019-03-15T07:00:00+01:00;12236
2019-03-15T08:00:00+01:00;24268
2019-03-15T09:00:00+01:00;35515
2019-03-15T10:00:00+01:00;60535
2019-03-15T11:00:00+01:00;14148
2019-03-15T12:00:00+01:00;70297
2019-03-15T13:00:00+01:00;24149
2019-03-15T14:00:00+01:00;29491
2019-03-15T15:00:00+01:00;40243
2019-03-15T16:00:00+01:00;17288
2019-03-15T17:00:00+01:00;8345
2019-03-15T18:00:00+01:00;65536
2019-03-15T19:00:00+01:00;26094
2019-03-15T20:00:00+01:00;15906
2019-03-15T21:00:00+01:00;8669
2019-03-15T22:00:00+01:00;7782
2019-03-15T23:00:00+01:00;25821
2019-03-16T00:00:00+01:00;14643
2019-03-16T01:00:00+01:00;13892
2019-03-16T02:00:00+01:00;7441
2019-03-16T03:00:00+01:00;14284
2019-03-16T04:00:00+01:00;30617
2019-03-16T05:00:00+01:00;9216
2019-03-16T06:00:00+01:00;10837
2019-03-16T07:00:00+01:00;6468
2019-03-16T08:00:00+01:00;4215
2019-03-16T09:00:00+01:00;3242
2019-03-16T10:00:00+01:00;6877
2019-03-16T11:00:00+01:00;7082
2019-03-16T12:00:00+01:00;13789
2019-03-16T13:00:00+01:00;3464
2019-03-16T14:00:00+01:00;6451
2019-03-16T15:00:00+01:00;7799
2019-03-16T16:00:00+01:00;4300
2019-03-16T17:00:00+01:00;4829
2019-03-16T18:00:00+01:00;16725
2019-03-16T19:00:00+01:00;10496
2019-03-16T20:00:00+01:00;14830
2019-03-16T21:00:00+01:00;17169
2019-03-16T22:00:00+01:00;8277
