Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-05-16T16:00:00+02:00;20128333333;2,48008E+11;19062089;18716619;1;12;4
2019-05-16T17:00:00+02:00;21214166666;2,47986E+11;23617689;24027221;1;13;10
2019-05-16T18:00:00+02:00;19698750000;2,47975E+11;22448162;21966362;1;13;6
2019-05-16T19:00:00+02:00;19784050000;2,47879E+11;25438667;26810438;1;11;6
2019-05-16T20:00:00+02:00;20828166666;2,47906E+11;27703603;27283285;1;8;1
2019-05-16T21:00:00+02:00;20779633333;2,47982E+11;27221460;27576510;1;9;4
2019-05-16T22:00:00+02:00;19390900000;2,47924E+11;26260650;26403601;1;9;10
2019-05-16T23:00:00+02:00;17569600000;2,47934E+11;21156027;20876049;1;12;5
2019-05-17T00:00:00+02:00;15059750000;2,48031E+11;10065288;9685026;1;13;19
2019-05-17T01:00:00+02:00;14422583333;2,48038E+11;6327631;29017988;1;9;13
2019-05-17T02:00:00+02:00;13398316666;2,47999E+11;4330240;21711581;1;10;17
2019-05-17T03:00:00+02:00;12643166666;2,47945E+11;2630417;15115878;1;8;10
2019-05-17T04:00:00+02:00;13464400000;2,47767E+11;1508228;1780312;1;15;64
2019-05-17T05:00:00+02:00;12620516666;2,47752E+11;2103227;3168563;1;12;5
2019-05-17T06:00:00+02:00;12181350000;2,47785E+11;2157141;1896328;1;10;12
2019-05-17T07:00:00+02:00;13394300000;2,4782E+11;6334880;6170554;1;12;4
2019-05-17T08:00:00+02:00;14397116666;2,4806E+11;4585130;7067067;1;11;5
2019-05-17T09:00:00+02:00;16708766666;2,48108E+11;5936093;8660548;1;12;6
2019-05-17T10:00:00+02:00;17074883333;2,48162E+11;7159415;11823018;1;11;7
2019-05-17T11:00:00+02:00;18088866666;2,48216E+11;9556731;10062709;1;13;5
2019-05-17T12:00:00+02:00;17720866666;2,48308E+11;17343982;17244791;1;13;1
2019-05-17T13:00:00+02:00;17559033333;2,48342E+11;17582479;17474959;1;14;4
2019-05-17T14:00:00+02:00;16467566666;2,48328E+11;9699592;12686795;1;11;21
2019-05-17T15:00:00+02:00;17161550000;2,46327E+11;8971987;14666487;1;9;4
2019-05-17T16:00:00+02:00;15592050000;2,4416E+11;9229797;10006389;1;11;8
2019-05-17T17:00:00+02:00;16565650000;2,44124E+11;8831914;8738423;1;9;3
2019-05-17T18:00:00+02:00;19304033333;2,44125E+11;16791483;19278045;1;9;8
2019-05-17T19:00:00+02:00;19476700000;2,44095E+11;20910375;22701837;1;8;26
2019-05-17T20:00:00+02:00;19983416666;2,44143E+11;28869102;28933666;1;8;1
2019-05-17T21:00:00+02:00;17909733333;2,4414E+11;18682845;19496174;1;10;4
2019-05-17T22:00:00+02:00;18200516666;2,44152E+11;13695641;13675127;1;9;10
2019-05-17T23:00:00+02:00;17310783333;2,44111E+11;12178346;12103543;1;5;5
2019-05-18T00:00:00+02:00;16863733333;2,44158E+11;10200985;10038033;1;12;12
2019-05-18T01:00:00+02:00;15293833333;2,44143E+11;7723298;35720755;1;9;9
2019-05-18T02:00:00+02:00;16215150000;2,31921E+11;6091093;31917789;1;12;17
2019-05-18T03:00:00+02:00;14218300000;2,27074E+11;5012275;4841369;1;11;12
2019-05-18T04:00:00+02:00;13862683333;2,27308E+11;3720499;4001553;1;15;58
2019-05-18T05:00:00+02:00;13934650000;2,27422E+11;1536375;9569774;1;9;5
2019-05-18T06:00:00+02:00;13411083333;2,37369E+11;7138099;1510792;1;6;6
2019-05-18T07:00:00+02:00;13664916666;2,44576E+11;1029478;785271;1;5;2
2019-05-18T08:00:00+02:00;14137500000;2,44645E+11;2223906;4087893;1;5;7
2019-05-18T09:00:00+02:00;13960750000;2,44625E+11;5755835;5612629;1;9;3
2019-05-18T10:00:00+02:00;15186683333;2,44649E+11;11530496;12100334;1;9;4
2019-05-18T11:00:00+02:00;18003500000;2,44631E+11;17771468;19080857;1;8;16
2019-05-18T12:00:00+02:00;18790716666;2,44651E+11;17832021;24723404;1;11;8
2019-05-18T13:00:00+02:00;19632283333;2,44592E+11;19184049;45309396;1;13;13
2019-05-18T14:00:00+02:00;19633566666;2,44568E+11;18653678;32686574;1;9;5
2019-05-18T15:00:00+02:00;18454716666;2,44545E+11;15265399;15033361;1;7;1
2019-05-18T16:00:00+02:00;17852716666;2,44646E+11;14278758;13909367;1;8;2
2019-05-18T17:00:00+02:00;18682133333;2,44594E+11;17172224;16729736;1;10;9
2019-05-18T18:00:00+02:00;19688700000;2,44589E+11;19572957;19332539;1;8;5
2019-05-18T19:00:00+02:00;19829466666;2,44656E+11;19672064;19707579;1;7;7
2019-05-18T20:00:00+02:00;19600950000;2,44682E+11;21654135;21884603;1;8;8
2019-05-18T21:00:00+02:00;19278350000;2,44681E+11;18912529;18665830;1;7;3
2019-05-18T22:00:00+02:00;19270083333;2,44557E+11;16084582;15822592;1;7;5
2019-05-18T23:00:00+02:00;18531450000;2,4417E+11;12893132;12858129;1;7;3
2019-05-19T00:00:00+02:00;16654083333;2,44234E+11;8205875;10152652;1;13;24
2019-05-19T01:00:00+02:00;14938700000;2,44201E+11;6162773;28297728;1;8;7
2019-05-19T02:00:00+02:00;14318850000;2,44237E+11;4710058;19697015;1;11;16
2019-05-19T03:00:00+02:00;14262933333;2,44273E+11;3391965;4979507;1;11;15
2019-05-19T04:00:00+02:00;15294400000;2,44262E+11;4722124;5538594;1;14;36
2019-05-19T05:00:00+02:00;13890816666;2,44236E+11;3920774;4442615;1;10;2
2019-05-19T06:00:00+02:00;12886166666;2,44302E+11;1681841;1344078;1;8;7
2019-05-19T07:00:00+02:00;12535500000;2,44321E+11;2280772;1939148;1;5;6
2019-05-19T08:00:00+02:00;13440583333;2,44286E+11;2021802;3184827;1;8;9
2019-05-19T09:00:00+02:00;12985200000;2,44284E+11;3386862;10419217;1;6;6
2019-05-19T10:00:00+02:00;13858483333;2,44319E+11;9234255;9117166;1;9;9
2019-05-19T11:00:00+02:00;15764266666;2,44327E+11;11752174;12269670;1;8;13
2019-05-19T12:00:00+02:00;19266000000;2,44294E+11;15013068;15294941;1;7;1
2019-05-19T13:00:00+02:00;20447500000;2,44299E+11;19131562;19444497;1;7;3
2019-05-19T14:00:00+02:00;19644766666;2,41039E+11;19314483;21292288;1;10;5
2019-05-19T15:00:00+02:00;19759283333;2,34523E+11;20219750;19938679;1;7;3
2019-05-19T16:00:00+02:00;19388250000;2,34547E+11;21649001;21605852;1;8;3
2019-05-19T17:00:00+02:00;20167883333;2,34458E+11;24274722;26050235;1;7;4
2019-05-19T18:00:00+02:00;21230583333;2,34461E+11;25177480;24977595;1;9;6
2019-05-19T19:00:00+02:00;21103916666;2,34451E+11;29815296;30206156;1;9;10
2019-05-19T20:00:00+02:00;21680183333;2,34496E+11;31225156;31397939;1;8;4
2019-05-19T21:00:00+02:00;20148950000;2,34524E+11;34964974;35570807;1;10;5
2019-05-19T22:00:00+02:00;17938850000;2,34526E+11;24857635;24876367;1;8;5
