Time;Free disk space on C:\
2019-05-15T14:53:50+02:00;12270288896
2019-05-15T14:54:50+02:00;12270288896
2019-05-15T14:55:50+02:00;12270288896
2019-05-15T14:56:50+02:00;12270288896
2019-05-15T14:57:50+02:00;12270288896
2019-05-15T14:58:50+02:00;12270288896
2019-05-15T14:59:50+02:00;12270288896
2019-05-15T15:00:50+02:00;12270288896
2019-05-15T15:01:50+02:00;12270288896
2019-05-15T15:02:50+02:00;12270288896
2019-05-15T15:03:50+02:00;12270288896
2019-05-15T15:04:50+02:00;12270288896
2019-05-15T15:05:50+02:00;12270288896
