Time;dsi-openmanage: CPU usage;IF-MSSQL-TESTS: CPU usage;PCT-QRC-TEAM: CPU usage;MATEIS-CHIMITHEQUE: CPU usage;MSIF2018-WEB: CPU usage;MSIF2018-MID: CPU usage;CETHIL-FLEXLM2: CPU usage;HEBERGEMENTS: CPU usage;MOUVINSA-PRIV: CPU usage;MOUVINSA: CPU usage;TC-NET3: CPU usage
2019-06-06T14:23:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:24:00+02:00;74000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T14:25:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:26:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T14:27:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T14:28:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T14:29:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:30:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:31:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:32:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:33:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:34:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:35:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T14:36:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:37:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:38:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:39:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T14:40:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:41:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
