TimeT,CPU usage,Used memory,Number of bytes received,Number of bytes transmitted,Overall status
09-07T07:30,2499000000.0,75627495424.0,1370112.0,12228096.0,1.0
09-07T07:32,3052500000.0,75586076672.0,861696.0,472064.0,1.0
09-07T07:34,3145000000.0,75663671296.0,1422336.0,392192.0,1.0
09-07T07:36,3512000000.0,75625922560.0,888832.0,11719680.0,1.0
09-07T07:38,1980000000.0,75551473664.0,893952.0,314880.0,1.0
09-07T07:40,3332500000.0,75532075008.0,1649152.0,11534848.0,1.0
09-07T07:42,2546000000.0,75583455232.0,863232.0,400384.0,1.0
09-07T07:44,3121500000.0,75657379840.0,1842176.0,375296.0,1.0
09-07T07:46,1986000000.0,75538890752.0,997376.0,10941952.0,1.0
09-07T07:48,2109000000.0,75572969472.0,873984.0,495616.0,1.0
09-07T07:50,2944500000.0,75607572480.0,1560576.0,10421760.0,1.0
09-07T07:52,2465000000.0,75625398272.0,770560.0,365568.0,1.0
09-07T07:54,2855000000.0,75635359744.0,1800192.0,444928.0,1.0
09-07T07:56,2283000000.0,75574018048.0,1019904.0,10046464.0,1.0
09-07T07:58,2601000000.0,75668389888.0,970752.0,501760.0,1.0
09-07T08:00,4181000000.0,75624349696.0,1182208.0,1812480.0,1.0
09-07T08:02,2247000000.0,75537317888.0,955392.0,376832.0,1.0
09-07T08:04,3577000000.0,75537317888.0,1201152.0,280064.0,1.0
09-07T08:06,2297000000.0,75544133632.0,866304.0,499712.0,1.0
09-07T08:08,2504000000.0,75720818688.0,4561408.0,550400.0,1.0
09-07T08:10,2353500000.0,75613863936.0,1297920.0,287744.0,1.0
09-07T08:12,2274000000.0,75525259264.0,935424.0,399360.0,1.0
09-07T08:14,3107000000.0,75559862272.0,1003008.0,266752.0,1.0
09-07T08:16,2424500000.0,75607572480.0,895488.0,315392.0,1.0
09-07T08:18,2074500000.0,75589746688.0,803328.0,205824.0,1.0
09-07T08:20,2871000000.0,75558289408.0,1295872.0,349184.0,1.0
09-07T08:22,2726500000.0,75582930944.0,796672.0,339456.0,1.0
09-07T08:24,2990000000.0,75585028096.0,975360.0,250880.0,1.0
09-07T08:26,2806500000.0,75575066624.0,880128.0,231424.0,1.0
09-07T08:28,2000000000.0,75539939328.0,794624.0,239104.0,1.0
09-07T08:30,4261000000.0,75560386560.0,1052672.0,302080.0,1.0
09-07T08:32,2255500000.0,75607572480.0,963072.0,276992.0,1.0
09-07T08:34,3246000000.0,75559862272.0,1055232.0,353280.0,1.0
09-07T08:36,2275000000.0,75557240832.0,770560.0,1024000.0,1.0
09-07T08:38,2145000000.0,75581358080.0,876032.0,344064.0,1.0
09-07T08:40,3245500000.0,75619106816.0,1033216.0,274944.0,1.0
09-07T08:42,2250000000.0,75572969472.0,828928.0,260096.0,1.0
09-07T08:44,2586000000.0,75564580864.0,1137664.0,316416.0,1.0
09-07T08:46,2475000000.0,75599183872.0,1000448.0,220672.0,1.0
09-07T08:48,2335000000.0,75626446848.0,764928.0,243200.0,1.0
09-07T08:50,3108000000.0,75576639488.0,1028608.0,270848.0,1.0
09-07T08:52,2569000000.0,75542036480.0,783872.0,336896.0,1.0
09-07T08:54,2004500000.0,75555143680.0,1110528.0,244224.0,1.0
09-07T08:56,3923000000.0,75594465280.0,829952.0,279040.0,1.0
09-07T08:58,2554500000.0,75583979520.0,748544.0,286720.0,1.0
09-07T09:00,3475500000.0,75548852224.0,1463808.0,261632.0,1.0
09-07T09:02,2115000000.0,75573493760.0,1007616.0,383488.0,1.0
09-07T09:04,2338000000.0,75604426752.0,960512.0,246272.0,1.0
09-07T09:06,2864500000.0,75617533952.0,780288.0,421888.0,1.0
09-07T09:08,2651500000.0,75684642816.0,4727296.0,495616.0,1.0
09-07T09:10,2870500000.0,75593416704.0,1024512.0,251904.0,1.0
09-07T09:12,2384000000.0,75632214016.0,977408.0,261632.0,1.0
09-07T09:14,2838000000.0,75619106816.0,1015296.0,958976.0,1.0
09-07T09:16,2957500000.0,75564580864.0,861184.0,303616.0,1.0
09-07T09:18,1970000000.0,75557765120.0,733184.0,224256.0,1.0
09-07T09:20,3876500000.0,75585552384.0,922112.0,262144.0,1.0
09-07T09:22,2267500000.0,75641126912.0,906240.0,299520.0,1.0
09-07T09:24,2991500000.0,75550425088.0,830976.0,247296.0,1.0
09-07T09:26,2853500000.0,75572969472.0,856064.0,310784.0,1.0
09-07T09:28,2666500000.0,75563008000.0,797184.0,325120.0,1.0
09-07T09:30,4718500000.0,75629592576.0,871936.0,1692672.0,1.0
09-07T09:32,2011000000.0,75548852224.0,1006080.0,3346944.0,1.0
09-07T09:34,2152000000.0,75578212352.0,894976.0,592896.0,1.0
09-07T09:36,2914500000.0,75604426752.0,840704.0,310784.0,1.0
09-07T09:38,2197500000.0,75692507136.0,836096.0,348672.0,1.0
09-07T09:40,2768000000.0,75608096768.0,863232.0,278528.0,1.0
09-07T09:42,1912000000.0,75524210688.0,981504.0,689664.0,1.0
09-07T09:44,2415500000.0,75562483712.0,1076736.0,374272.0,1.0
09-07T09:46,3397000000.0,75577688064.0,984064.0,372736.0,1.0
09-07T09:48,1860500000.0,75584503808.0,729600.0,266240.0,1.0
09-07T09:50,3714500000.0,75570872320.0,827392.0,1408000.0,1.0
09-07T09:52,2066000000.0,75564580864.0,847360.0,1954304.0,1.0
09-07T09:54,2829500000.0,75585552384.0,1124352.0,403968.0,1.0
09-07T09:56,2754500000.0,75575066624.0,828928.0,432128.0,1.0
09-07T09:58,1937500000.0,75524210688.0,773632.0,354304.0,1.0
09-07T10:00,2760500000.0,75547803648.0,877056.0,324608.0,1.0
09-07T10:02,2569500000.0,75581358080.0,842752.0,374272.0,1.0
09-07T10:04,1994500000.0,75621203968.0,808960.0,316416.0,1.0
09-07T10:06,2756500000.0,75516346368.0,798720.0,427008.0,1.0
09-07T10:08,2854000000.0,75587125248.0,4759552.0,663552.0,1.0
09-07T10:10,3265500000.0,75604951040.0,918528.0,275456.0,1.0
09-07T10:12,2003500000.0,75572969472.0,883712.0,354816.0,1.0
09-07T10:14,3782000000.0,75519492096.0,959488.0,357888.0,1.0
09-07T10:16,2168000000.0,75549900800.0,880640.0,355328.0,1.0
09-07T10:18,3234500000.0,75585028096.0,842240.0,561664.0,1.0
09-07T10:20,2928000000.0,75565629440.0,971776.0,330240.0,1.0
09-07T10:22,2077500000.0,75540987904.0,805376.0,371200.0,1.0
09-07T10:24,2675500000.0,75554095104.0,1099264.0,332800.0,1.0
09-07T10:26,2492000000.0,75589222400.0,864256.0,376832.0,1.0
09-07T10:28,2435500000.0,75581882368.0,778752.0,305152.0,1.0
09-07T10:30,2600500000.0,75526307840.0,1037824.0,346624.0,1.0
09-07T10:32,2343000000.0,75544657920.0,938496.0,714240.0,1.0
09-07T10:34,3585500000.0,75593416704.0,968704.0,348672.0,1.0
09-07T10:36,1908500000.0,75537317888.0,879616.0,244224.0,1.0
09-07T10:38,2697500000.0,75528404992.0,751104.0,285696.0,1.0
09-07T10:40,2995500000.0,75545706496.0,3030016.0,235462656.0,1.0
09-07T10:42,3101500000.0,75573493760.0,1012736.0,353280.0,1.0
09-07T10:44,3101000000.0,75581882368.0,8851968.0,226677760.0,1.0
09-07T10:46,2150000000.0,75532075008.0,1022464.0,420352.0,1.0
09-07T10:48,1991000000.0,75566678016.0,919040.0,822272.0,1.0
09-07T10:50,2932000000.0,75588173824.0,3199488.0,235105280.0,1.0
09-07T10:52,2196000000.0,75610718208.0,889856.0,306688.0,1.0
09-07T10:54,2816500000.0,75547279360.0,2970624.0,235516928.0,1.0
09-07T10:56,2081500000.0,75551997952.0,983552.0,474112.0,1.0
09-07T10:58,2243500000.0,75590795264.0,876032.0,376832.0,1.0
09-07T11:00,3054500000.0,75624873984.0,3265536.0,224313344.0,1.0
09-07T11:02,1943500000.0,75523162112.0,909824.0,699904.0,1.0
09-07T11:04,2619000000.0,75553570816.0,3193344.0,236910592.0,1.0
09-07T11:06,2357000000.0,75591843840.0,1219584.0,676864.0,1.0
09-07T11:08,3453000000.0,75765383168.0,935936.0,376320.0,1.0
09-07T11:10,2825500000.0,75554619392.0,3103232.0,239927296.0,1.0
09-07T11:12,3011500000.0,75565105152.0,973824.0,1038336.0,1.0
09-07T11:14,2825500000.0,75618058240.0,3257344.0,238811648.0,1.0
09-07T11:16,2058500000.0,75635359744.0,968704.0,598528.0,1.0
09-07T11:18,1880000000.0,75551997952.0,980992.0,9145344.0,1.0
09-07T11:20,2923500000.0,75563008000.0,3040768.0,239760384.0,1.0
09-07T11:22,2285000000.0,75574542336.0,840192.0,309760.0,1.0
09-07T11:24,2982000000.0,75623825408.0,3067904.0,241820672.0,1.0
09-07T11:26,1916000000.0,75515822080.0,991744.0,756736.0,1.0
09-07T11:28,2071500000.0,75554619392.0,1134080.0,833536.0,1.0
09-07T11:30,3178000000.0,75573493760.0,3326464.0,240695808.0,1.0
09-07T11:32,2608000000.0,75610193920.0,887808.0,323072.0,1.0
09-07T11:34,2957500000.0,75531550720.0,2981376.0,241641472.0,1.0
09-07T11:36,2728000000.0,75560386560.0,1021440.0,359424.0,1.0
09-07T11:38,2983000000.0,75577163776.0,894464.0,312832.0,1.0
09-07T11:40,2892000000.0,75604951040.0,3010048.0,223386112.0,1.0
09-07T11:42,2672500000.0,75551473664.0,1193984.0,408576.0,1.0
