Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085
2019-06-27T01:46:00+02:00;10223000000;2,25E+11;4932096;30060032;3;0;0;0;0,5;8,5;4;1,5;2,5;0;3,5;4
2019-06-27T01:48:00+02:00;7970500000;2,25E+11;4323328;32644608;1;3,5;1,5;0;1;4,5;1;1,5;2;0;0,5;1,5
2019-06-27T01:50:00+02:00;10572500000;2,25E+11;4150784;39359488;1;3;1,5;0;2;5;1;1;2;0;1;2
2019-06-27T01:52:00+02:00;7844000000;2,25E+11;3767296;34366976;3;1,5;7;0;0,5;10;4;1;5,5;3;6;2
2019-06-27T01:54:00+02:00;8088500000;2,25E+11;4130816;38195200;1;0;3;0;1;4,5;1;0,5;1;0;1;1
2019-06-27T01:56:00+02:00;8612500000;2,25E+11;4710400;19491840;1;8;12,5;6;1;8,5;4;3;2;54,5;5;4
2019-06-27T01:58:00+02:00;7675500000;2,25E+11;3331072;37757952;1;0;1;0;3;5;1;1;4;0,5;1,5;1,5
2019-06-27T02:00:00+02:00;9332000000;2,25E+11;4069376;3582976;3;0;2,5;0;0;4;1;1;3,5;0,5;1,5;1
2019-06-27T02:02:00+02:00;13109000000;2,25E+11;4165120;21349376;5;0;2;0;29;8,5;5;5,5;9;3;6;4,5
2019-06-27T02:04:00+02:00;12537000000;2,25E+11;4316160;19399680;4;0;3;0;52;null;null;null;null;null;null;null
2019-06-27T02:06:00+02:00;9711000000;2,25E+11;3650048;16218112;7;0;1,5;1,5;4,5;7;5,5;2,5;6,5;2,5;6;2
2019-06-27T02:08:00+02:00;10571500000;2,25E+11;3125760;15047680;5;1;1;0;2;13;5;7;6;0;4;5
2019-06-27T02:10:00+02:00;8059000000;2,25E+11;3843072;24870912;2;0;1;0;1,5;4;3;2;3,5;0,5;14,5;3
2019-06-27T02:12:00+02:00;8427500000;2,25E+11;4077568;24064512;2;0;1;0;0;11,5;3;3,5;2,5;0;2,5;1
